address,County,State,latitude,longtitude
171 Stone Chimney Rd,Brunswick County,NC,34.01301796,-78.27049716
3200 Stone Chimney Rd,Brunswick County,NC,33.93645276,-78.2497635
375 George ll,Brunswick County,NC,34.12087,-78.09019
702 George ll,Brunswick County,NC,34.10835,-78.08851
4315 Rounding Run SW,Brunswick County,NC,33.94221812,-78.40574856
2552 Bessemer Dr,Brunswick County,NC,33.91867465,-78.32472429
4484 Rising Meadows Ct SW,Brunswick County,NC,33.944,-78.40348
1125 Wilson Ave SW,Brunswick County,NC,33.89198765,-78.55675957
1600 Eyota,Brunswick County,NC,33.90227855,-78.43512603
1919 W. Sea Aire Canal,Brunswick County,NC,33.91808,-78.29224
2505 Bessemer Dr,Brunswick County,NC,33.92048646,-78.32490032
1824 Boonesneck,Brunswick County,NC,33.93325,-78.29591
8943 Landing Dr. SW,Brunswick County,NC,33.88323461,-78.54399286
1744 Waterway Dr. SW,Brunswick County,NC,33.89652187,-78.4523846
9161 Forest Drive,Brunswick County,NC,33.88242431,-78.55273631
1895 E. Sea Aire Canal,Brunswick County,NC,33.91807,-78.29125
1740 Chadwick Landing Dr,Brunswick County,NC,33.92953,-7835249
35 CS PKWY,Brunswick County,NC,33.90485,-78.5812
10 E. Pine Court,Brunswick County,NC,33.89301927,-78.58720712
8 CS PKWY,Brunswick County,NC,33.90013,-78.58111
13 NW Drive,Brunswick County,NC,33.904411,-78.585583
57 Calabash Dr.,Brunswick County,NC,33.896656,-78.576012
22 Bayberry Circle,Brunswick County,NC,33.90582836,-78.57572331
6 Gate 4,Brunswick County,NC,33.89437424,-78.58050091
17 Gate 6,Brunswick County,NC,33.89622603,-78.58287125
5 Petrel Ct.,Brunswick County,NC,33.89335466,-78.58396995
2 Golfcrest Ct.,Brunswick County,NC,33.899767,-78.586168
25 Gate 6,Brunswick County,NC,33.89634512,-78.58291424
63 Calabash Dr.,Brunswick County,NC,33.8974282,-78.57657359
5 Sand Dollar Ct.,Brunswick County,NC,33.90024294,-78.57713683
10 Pineridge Ct.,Brunswick County,NC,33.90537491,-78.57848085
4 Sunfish Ct.,Brunswick County,NC,33.90448651,-78.58093321
327 Caswell Beach Rd,Brunswick County,NC,33.89296149,-78.03698636
440 Caswell Beach Rd,Brunswick County,NC,33.89416556,-78.04147438
526 Caswell Beach Rd,Brunswick County,NC,33.89518848,-78.04509667
604 Caswell Beach Rd,Brunswick County,NC,33.89621434,-78.04835485
612 Caswell Beach Rd,Brunswick County,NC,33.89629566,-78.04869559
645 Caswell Beach Rd,Brunswick County,NC,33.8964215,-78.05023179
647 Caswell Beach Rd,Brunswick County,NC,33.89643665,-78.05031664
423 40TH STREET,Brunswick County,NC,33.8666947,-78.51645261
207 SHORELINE DR,Brunswick County,NC,33.88603305,-78.50719532
217 AZALEA CIRCLE,Brunswick County,NC,33.88742418,-78.50558397
209 AZALEA CIRCLE,Brunswick County,NC,33.88721249,-78.50651624
204 AZALEA CIRCLE,Brunswick County,NC,33.88669364,-78.50805203
531 GREAT OAK CIRCLE,Brunswick County,NC,33.88925221,-78.49842052
503 GREAT OAK CIRCLE,Brunswick County,NC,33.88823686,-78.50148186
501 GREAT OAK CIRCLE,Brunswick County,NC,33.888059,-78.501638
433 32ND STREET,Brunswick County,NC,33.8693249,-78.51184867
62 Windover Drive,Brunswick County,NC,34.03106968,-78.06482952
326 North Shore Drive,Brunswick County,NC,34.03206949,-78.05926344
352 North Shore Drive,Brunswick County,NC,34.03230716,-78.05891473
1151 Spring Lake Dr,Brunswick County,NC,33.929115,-78.204121
1125 Spring Lake Drive,Brunswick County,NC,33.929115,-78.204121
1378 North Shore Drive,Brunswick County,NC,34.04646494,-78.04414956
1420 North Shore Drive,Brunswick County,NC,34.04631332,-78.04295041
196 Forest Lane,Brunswick County,NC,34.04737204,-78.04111888
22 Redwood Road,Brunswick County,NC,34.05279431,-78.04044404
16 Highpoint Road,Brunswick County,NC,34.0604155,-78.035704
231 (250) North Lake Keziah Rd,Brunswick County,NC,34.06436,-78.03795
2350 East Boiling Spring Rd.,Brunswick County,NC,34.06402806,-78.03379513
343 South Shore Drive,Brunswick County,NC,34.02882688,-78.05819984
501 South Shore Drive,Brunswick County,NC,34.03095142,-78.05506841
561 South Shore Drive,Brunswick County,NC,34.03112355,-78.05329053
581 South Shore Drive,Brunswick County,NC,34.03113688,-78.05265985
661 South Shore Drive,Brunswick County,NC,34.03319528,-78.05130089
1111 South Shore Drive,Brunswick County,NC,34.0411568,-78.04278637
502 Palmer Drive,Brunswick County,NC,34.03398936,-78.04478971
528 Palmer Drive,Brunswick County,NC,34.033617,-78.044032
801 South Shore Drive,Brunswick County,NC,34.03576792,-78.04794908
917 Eden Drive,Brunswick County,NC,34.03129748,-78.03506529
566 Palmer Drive,Brunswick County,NC,34.03309706,-78.04278969
1333 South Shore Drive,Brunswick County,NC,34.041399,-78.037288
974 Wimberley Road,Brunswick County,NC,34.03328391,-78.03308792
818 Sanders Road,Brunswick County,NC,34.03183976,-78.04515333
392 Masters Road,Brunswick County,NC,34.02711,-78.05153
4269 Sawmill Rd,Brunswick County,NC,34.29784,-78.14847
4655 Vernon Rd,Brunswick County,NC,34.31026335,-78.14642798
207 Broadway,Brunswick County,NC,34.25215283,-77.9985291
205 Broadway,Brunswick County,NC,34.25205889,-77.9984814
1511 Sandy Lane,Brunswick County,NC,34.25797657,-78.0180804
10357 Royster Rd,Brunswick County,NC,34.27045273,-78.00559716
1197 Old Mill Rd,Brunswick County,NC,34.09456129,-78.08446653
718 Miles Branch Rd,Brunswick County,NC,34.2514233,-78.0044447
334 Main Street,Brunswick County,NC,34.25585817,-78.00497283
716 Miles Branch Rd,Brunswick County,NC,34.2514233,-78.0044447
1910 Goose Creek Rd,Brunswick County,NC,33.90621759,-78.40058501
1908 Goose Creek Rd.,Brunswick County,NC,33.90613949,-78.40105755
1759 Village Point Rd,Brunswick County,NC,33.91494,-78.37467
4885 Blue Banks Loop Rd,Brunswick County,NC,34.31944,-78.15137
4645 Blue Banks Loop Rd,Brunswick County,NC,34.32652,-78.14459
5761 Ocean HWY,Brunswick County,NC,33.95360716,-78.45627134
5791 Ocean HWY,Brunswick County,NC,33.95328757,-78.45834593
7300 Ocean HWY,Brunswick County,NC,33.945216,-78.511782
7350 Ocean HWY,Brunswick County,NC,34.18565727,-78.08240062
8001 Ocean HWY,Brunswick County,NC,34.19759774,-78.06282243
2485 Old Ocean HWY,Brunswick County,NC,34.04313254,-78.18942041
2915 Old Ocean HWY,Brunswick County,NC,34.04773926,-78.17641636
660 Thomasboro Rd,Brunswick County,NC,33.9202493,-78.5560417
9222 Blanes Landing,Brunswick County,NC,33.88082,-78.55552
9097 Forest Dr,Brunswick County,NC,33.88272752,-78.55133553
9133 Forest Dr.,Brunswick County,NC,33.88247907,-78.55248307
1567 Civietown Rd,Brunswick County,NC,33.98367522,-78.31461495
1903 Sea Aire Canal,Brunswick County,NC,NA,NA
1853 Sea Aire Canal,Brunswick County,NC,33.91831,-78.29146
3346 Dogwood Rd,Brunswick County,NC,34.30761962,-78.0724535
2296 Mt. Misery Rd,Brunswick County,NC,34.28026539,-78.04904592
3822 Mt. Misery Rd,Brunswick County,NC,34.31280939,-78.09819144
4056 Mt. Misery Rd,Brunswick County,NC,34.31330699,-78.10828722
4072 Mt. Misery Rd,Brunswick County,NC,34.31325154,-78.10890857
4180 Mt. Misery Rd,Brunswick County,NC,34.31229138,-78.11295607
6995 Lester St,Brunswick County,NC,33.89086614,-78.47063802
9154 Bricklanding SW,Brunswick County,NC,33.88153,-78.55278
61 Red Bug Rd,Brunswick County,NC,33.98469616,-78.35835
1337 Marsh Line Ct,Brunswick County,NC,33.93012,-78.37304
1619 Village Point Rd,Brunswick County,NC,33.92095,-78.3736
1757 Village Point Rd,Brunswick County,NC,33.91495,-78.37496
1198 Village Point Rd,Brunswick County,NC,33.93517,-78.38085
1738 Cotton Patch Rd,Brunswick County,NC,33.91382803,-78.38544286
4214 Todd Rd,Brunswick County,NC,33.93503485,-78.38801768
8940 Landing Dr,Brunswick County,NC,33.88329415,-78.54447476
917 Stone Chimney Rd,Brunswick County,NC,33.98797503,-78.27478628
655 Stone Chimney Rd,Brunswick County,NC,33.99773147,-78.27980029
497 George ll,Brunswick County,NC,34.11479,-78.09204
605 George ll,Brunswick County,NC,34.11087,-78.09126
648 George ll,Brunswick County,NC,34.10992,-78.08956
281 George ll,Brunswick County,NC,34.1236,-78.09248
1220 George ll,Brunswick County,NC,34.09193,-78.09137
1320 George ll,Brunswick County,NC,34.08907,-78.09342
2966 Old Ocean HWY,Brunswick County,NC,34.04821489,-78.17474113
9509 Hooper Rd,Brunswick County,NC,34.32920885,-78.07721312
9134 Jinks Landing,Brunswick County,NC,33.88157,-78.55205
3631 River View Lane,Brunswick County,NC,33.91213,-78.35427367
6711 Roberta Rd SW,Brunswick County,NC,33.89360076,-78.45889735
1680 Waterway Dr SW,Brunswick County,NC,33.89840327,-78.45258646
700 Calabash Rd.,Brunswick County,NC,33.91902993,-78.60299684
2 Egret Court,Brunswick County,NC,33.891212,-78.584027
3 Heron Ct.,Brunswick County,NC,33.89514159,-78.58448152
6 Golfcrest Ct.,Brunswick County,NC,33.89981951,-78.58616341
81 CS PKWY,Brunswick County,NC,33.90882,-78.57572
3 Court 12 NW Dr.,Brunswick County,NC,33.89660737,-78.59054669
3 Midiron Ct.,Brunswick County,NC,33.894575,-78.585679
25 Calabash Dr.,Brunswick County,NC,33.89378,-78.577401
4 E. Pine Court,Brunswick County,NC,33.89295554,-78.58712192
133 Cherry Road,Brunswick County,NC,34.052657,-78.04428133
268 Redwood Road,Brunswick County,NC,34.05869744,-78.0425913
25 Canal Road,Brunswick County,NC,34.04984016,-78.04314781
114 Canal Road,Brunswick County,NC,34.04875734,-78.04187457
1139 East Boiling Spring Rd,Brunswick County,NC,34.04531939,-78.04927289
14 Burton Road,Brunswick County,NC,34.19347607,-78.06724712
602 North Shore Drive,Brunswick County,NC,34.03535056,-78.05453262
184 Canal Road,Brunswick County,NC,34.04860313,-78.04095837
766 North Shore Drive,Brunswick County,NC,34.03711737,-78.05221856
1108 Twin Lakes Drive,Brunswick County,NC,34.0371334,-78.03625302
554 Palmer Drive,Brunswick County,NC,34.03323226,-78.04311333
760 Boros Road,Brunswick County,NC,34.03101928,-78.04137868
741 Eden Drive,Brunswick County,NC,34.03596386,-78.0347622
788 Fifty Lakes Drive,Brunswick County,NC,34.02745152,-78.03913957
5485 Daffodil Ln,Brunswick County,NC,NA,NA
5539 Port Royal Rd,Brunswick County,NC,34.322797,-78.182027
4803 Northwest Rd,Brunswick County,NC,33.30919,-78.155
4402 Northwest Rd,Brunswick County,NC,34.30118,-78.1475
4322 Northwest Rd,Brunswick County,NC,34.29993,-78.14715
4161 Sawmill Rd,Brunswick County,NC,34.29514,-78.14955
4249 Sawmill Rd,Brunswick County,NC,34.29735,-78.14869
4322 Northwest Rd,Brunswick County,NC,34.29993,-78.14715
4992 Blue Banks Loop Rd,Brunswick County,NC,34.31654,-78.1591
4754 Blue Banks Loop Rd,Brunswick County,NC,34.3232,-78.14826
4661 Blue Banks Loop Rd,Brunswick County,NC,34.32613,-78.14505
5140 Perkins Rd,Brunswick County,NC,34.331256,-78.141165
5160 Perkins Rd,Brunswick County,NC,34.33138764,-78.14086676
4593 Blue Banks Loop Rd,Brunswick County,NC,34.32768,-78.14288
3839 Old Maco Rd. NE,Brunswick County,NC,34.28561764,-78.14381408
3804 Old Maco Rd. NE,Brunswick County,NC,34.28527807,-78.14281178
5020 GOOSENECK RD,Brunswick County,NC,34.3229,-78.15867
30 Combine Ln,Brunswick County,NC,34.189302,-78.0760429
3964 Marsh Hen Dr,Brunswick County,NC,33.9368122,-78.37896969
2 Moss Ct.,Brunswick County,NC,33.903417,-78.578461
56 CS PKWY,Brunswick County,NC,33.90617,-78.57938
7 Sage Ct,Brunswick County,NC,33.90656494,-78.58019042
3 Sage Ct,Brunswick County,NC,33.90651631,-78.58016347
26 Bayberry Circle,Brunswick County,NC,33.90561676,-78.57563782
202 Caswell Beach Rd,Brunswick County,NC,33.89191634,-78.03154679
205 Caswell Beach Rd,Brunswick County,NC,33.89158263,-78.03078498
215 Caswell Beach Rd,Brunswick County,NC,33.89164181,-78.03105167
408 SAILFISH STREET,Brunswick County,NC,33.87264448,-78.50144528
203 SHORELINE DR,Brunswick County,NC,33.88600766,-78.50731681
211 SHORELINE DR,Brunswick County,NC,33.88605844,-78.50707384
229 AZALEA CIRCLE,Brunswick County,NC,33.88730733,-78.50443077
212 AZALEA CIRCLE,Brunswick County,NC,33.88675628,-78.50777506
533 GREAT OAK CIRCLE,Brunswick County,NC,33.88928068,-78.49818515
504 FAIRWAY DR. W.,Brunswick County,NC,33.89379136,-78.50451977
603 TRIANGLE COURT,Brunswick County,NC,33.88978081,-78.49631303
523 FAIRWAY DR. W.,Brunswick County,NC,33.89341955,-78.5047597
605 TRIANGLE COURT,Brunswick County,NC,33.88977161,-78.49629406
608 CAMELLIA COURT,Brunswick County,NC,33.8873362,-78.5158574
4889 Vernon Rd,Brunswick County,NC,34.31700088,-78.15015093
5087 Blue Banks Loop Rd,Brunswick County,NC,34.3228,-78.16083
5029 Blue Banks Loop Rd,Brunswick County,NC,34.31385,-78.15984
4960 Blue Banks Loop Rd,Brunswick County,NC,34.31787,-78.15698
4924 Blue Banks Loop Rd,Brunswick County,NC,34.31892,-78.15427
4551 Blue Banks Loop Rd,Brunswick County,NC,34.32787,-78.14015
3769 Old Maco Rd. NE,Brunswick County,NC,34.284728,-78.14203987
3772 Old Maco Rd. NE,Brunswick County,NC,34.28490362,-78.14201847
3817 Old Maco Rd. NE,Brunswick County,NC,34.2853188,-78.14326592
3796 Old Maco Rd. NE,Brunswick County,NC,34.28517782,-78.14261659
3539 Farmers Chapel Rd. NE,Brunswick County,NC,34.28071704,-78.13989669
3503 Aycock Ct. NE,Brunswick County,NC,34.27966053,-78.13896773
3507 Aycock Ct. NE,Brunswick County,NC,34.2797576,-78.1389432
4889 Vernon Rd,Brunswick County,NC,34.31700088,-78.15015093
4541 Northwest Rd,Brunswick County,NC,34.3173,-78.17739
4161 Sawmill Rd,Brunswick County,NC,34.29514,-78.14955
4503 Blue Banks Loop Rd,Brunswick County,NC,34.32961,-78.13776
4870 Old Blue Banks Rd,Brunswick County,NC,34.31462,-78.13976
5018 Gooseneck Rd,Brunswick County,NC,34.32262,-78.15849
4982 Northwest Rd,Brunswick County,NC,34.3121,-78.16026
4013 Northwest Rd,Brunswick County,NC,34.29198,-78.1417
4339 Smith Trl,Brunswick County,NC,34.3047772,-78.14083384
4514 Mt. Misery Rd,Brunswick County,NC,34.311022,-78.1199274
4745 Browns Trail,Brunswick County,NC,34.32157,-78.14511
4644 Blue Banks Loop Rd,Brunswick County,NC,34.32684,-78.14533
4609 Blue Banks Loop Rd,Brunswick County,NC,34.32675,-78.1432
4261 HUMMINGBIRD LN,Brunswick County,NC,34.34016764,-78.13285154
126 Navassa Rd,Brunswick County,NC,34.24011973,-78.00268345
220 Broadway,Brunswick County,NC,34.25275021,-77.99904033
 2076 Arnold Palmer,Brunswick County,NC,33.95787551,-78.37076421
 2152 Arnold Palmer Dr.,Brunswick County,NC,33.95562738,-78.36860009
 4610 Bluff Dr.,Brunswick County,NC,33.97021,-78.379214
 4635 Bluff Dr.,Brunswick County,NC,33.96842447,-78.37965127
 4655 Bluff Dr.,Brunswick County,NC,33.96728036,-78.38079113
 4924 Bridgers Rd.,Brunswick County,NC,NA,NA
 Claremont Dr,Brunswick County,NC,33.952836,-78.395734
 24 Country Club Dr.,Brunswick County,NC,33.95974207,-78.38723408
 25 Country Club Dr.,Brunswick County,NC,33.96005739,-78.38648838
 31 Country Club Dr.,Brunswick County,NC,33.96071217,-78.38556639
 33 Country Club Dr.,Brunswick County,NC,33.96092991,-78.38525869
 35 Country Club Dr.,Brunswick County,NC,33.96114764,-78.38495098
 38 Country Club Dr.,Brunswick County,NC,33.96113134,-78.3852827
 39 Country CLub,Brunswick County,NC,33.95777759,-78.39074847
 49 Country Club Dr.,Brunswick County,NC,33.96080829,-78.38257045
 60 Country Club Dr.,Brunswick County,NC,33.96064256,-78.38192495
 61 Country Club Dr.,Brunswick County,NC,33.95968782,-78.38060583
 64 Country Club Dr.,Brunswick County,NC,33.96030378,-78.38133028
 75 Country Club Dr.,Brunswick County,NC,33.95838669,-78.37831031
 84 Country Club Dr.,Brunswick County,NC,33.95861257,-78.37835543
 86 Country Club Dr.,Brunswick County,NC,33.95844266,-78.37805839
 109 Country Club Dr.,Brunswick County,NC,33.91243794,-78.07323078
 136 Country Club Dr.,Brunswick County,NC,33.91227236,-78.07325364
 145 Country Club Dr.,Brunswick County,NC,33.91221716,-78.07326127
 195 Country Club Dr.,Brunswick County,NC,33.91191053,-78.07330361
 199 Country Club Dr,Brunswick County,NC,33.911886,-78.073307
 651 Copas Rd.,Brunswick County,NC,33.954975,-78.372594
 707 Copas Road,Brunswick County,NC,33.95371125,-78.37199799
 832 Copas Rd.,Brunswick County,NC,33.94960706,-78.36969158
 900 Copas Rd.,Brunswick County,NC,33.94767687,-78.36796071
 939 Copas Rd.,Brunswick County,NC,33.94640341,-78.369152
 18 Fairway Dr.,Brunswick County,NC,33.957595,-78.386808
 19 Fairway Dr.,Brunswick County,NC,33.95868425,-78.38508201
 65 Fairway Dr.,Brunswick County,NC,33.955991,-78.3803135
 74 Fairway Dr.,Brunswick County,NC,33.95615249,-78.37993238
 76 Fairway Dr.,Brunswick County,NC,33.95591779,-78.38011138
 510 Higlands Glen,Brunswick County,NC,NA,NA
 767 Loblolly Dr.,Brunswick County,NC,33.94682164,-78.372832
 810 Loblolly Dr,Brunswick County,NC,33.94670982,-78.37335812
 4627 Mintz,Brunswick County,NC,33.96763529,-78.37830779
 8 Palmer Dr,Brunswick County,NC,33.957348,-78.38485
 16 Palmer Drive,Brunswick County,NC,33.95751759,-78.38463939
 700 E. Pipers Glen,Brunswick County,NC,33.996071,-78.3646479
 Sandtrap Dr,Brunswick County,NC,33.955305,-78.383581
 129 Village Rd.,Brunswick County,NC,33.96956233,-78.38813978
 13 Wendy Lane,Brunswick County,NC,33.9570585,-78.39614679
 18 Wendy Lane,Brunswick County,NC,33.957227,-78.39616
 3461 Lakeshore Dr,Brunswick County,NC,33.884742,-78.5271
 3557 Lake Shore Dr.,Brunswick County,NC,33.950932,-78.3747986
 3575 Lake Shore Dr,Brunswick County,NC,33.950668,-78.375412
 39 Queens Grant Ci,Brunswick County,NC,NA,NA
 40 Queens Grant Cir,Brunswick County,NC,NA,NA
 542 Columbus Dr,Brunswick County,NC,NA,NA
 39 Queens Grant,Brunswick County,NC,33.95158104,-78.391182
