FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage o Less than 10,000","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)",Year,"Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill
01043,Alabama,Cullman,ARC,"Cullman County, Alabama",0.04 ,0.42 ,0.05 ,0.05 ,0.10 ,0.10 ,0.14 ,0.19 ,0.14 ,0.14 ,0.06 ,0.05 ,0.39 ,0.05 ,0.01 ,0.10 ,0.02 ,0.02 ,0.04 ,0.03 ,0.04 ,0.09 ,0.13 ,0.18 ,0.15 ,0.17 ,0.13 ,2022.00 ,Combined,4000,80,960
01049,Alabama,DeKalb,ARC,"DeKalb County, Alabama",0.04 ,0.44 ,0.06 ,0.07 ,0.12 ,0.12 ,0.14 ,0.18 ,0.12 ,0.12 ,0.04 ,0.03 ,0.38 ,0.06 ,0.01 ,0.17 ,0.03 ,0.01 ,0.05 ,0.05 ,0.04 ,0.11 ,0.14 ,0.20 ,0.14 ,0.14 ,0.08 ,2022.00 ,Combined,4000,80,960
01051,Alabama,Elmore,ARC,"Elmore County, Alabama",0.04 ,0.41 ,0.03 ,0.02 ,0.07 ,0.08 ,0.12 ,0.18 ,0.17 ,0.18 ,0.08 ,0.06 ,0.36 ,0.05 ,0.02 ,0.11 ,0.02 ,0.01 ,0.02 ,0.03 ,0.02 ,0.06 ,0.10 ,0.17 ,0.19 ,0.21 ,0.17 ,2022.00 ,Combined,4000,80,960
01055,Alabama,Etowah,ARC,"Etowah County, Alabama",0.06 ,0.43 ,0.06 ,0.06 ,0.12 ,0.10 ,0.14 ,0.19 ,0.11 ,0.13 ,0.05 ,0.03 ,0.39 ,0.07 ,0.02 ,0.14 ,0.03 ,0.01 ,0.03 ,0.05 ,0.06 ,0.09 ,0.14 ,0.19 ,0.13 ,0.16 ,0.10 ,2022.00 ,Combined,4000,80,960
01057,Alabama,Fayette,ARC,"Fayette County, Alabama",0.10 ,0.48 ,0.07 ,0.10 ,0.12 ,0.14 ,0.11 ,0.15 ,0.12 ,0.14 ,0.03 ,0.04 ,0.43 ,0.08 ,0.02 ,0.20 ,0.04 ,0.02 ,0.05 ,0.07 ,0.04 ,0.12 ,0.10 ,0.16 ,0.13 ,0.18 ,0.09 ,2022.00 ,Combined,4000,80,960
01059,Alabama,Franklin,ARC,"Franklin County, Alabama",0.04 ,0.44 ,0.06 ,0.07 ,0.12 ,0.12 ,0.14 ,0.17 ,0.14 ,0.11 ,0.06 ,0.02 ,0.39 ,0.07 ,0.01 ,0.20 ,0.02 ,0.03 ,0.05 ,0.05 ,0.08 ,0.10 ,0.13 ,0.16 ,0.16 ,0.14 ,0.10 ,2022.00 ,Combined,4000,80,960
01065,Alabama,Hale,ARC,"Hale County, Alabama",0.08 ,0.49 ,0.09 ,0.12 ,0.18 ,0.10 ,0.09 ,0.13 ,0.12 ,0.10 ,0.03 ,0.03 ,0.45 ,0.12 ,0.04 ,0.25 ,0.02 ,0.04 ,0.12 ,0.07 ,0.06 ,0.11 ,0.10 ,0.14 ,0.14 ,0.13 ,0.07 ,2022.00 ,Combined,4000,80,960
01071,Alabama,Jackson,ARC,"Jackson County, Alabama",0.06 ,0.50 ,0.06 ,0.07 ,0.13 ,0.13 ,0.15 ,0.15 ,0.12 ,0.12 ,0.04 ,0.03 ,0.42 ,0.06 ,0.01 ,0.14 ,0.02 ,0.02 ,0.04 ,0.05 ,0.06 ,0.11 ,0.16 ,0.16 ,0.13 ,0.15 ,0.09 ,2022.00 ,Combined,4000,80,960
01073,Alabama,Jefferson,ARC,"Jefferson County, Alabama",0.05 ,0.39 ,0.07 ,0.05 ,0.09 ,0.08 ,0.12 ,0.17 ,0.12 ,0.14 ,0.07 ,0.09 ,0.32 ,0.07 ,0.02 ,0.13 ,0.02 ,0.02 ,0.03 ,0.03 ,0.03 ,0.06 ,0.09 ,0.17 ,0.14 ,0.18 ,0.24 ,2022.00 ,Combined,4000,80,960
01075,Alabama,Lamar,ARC,"Lamar County, Alabama",0.05 ,0.49 ,0.06 ,0.08 ,0.13 ,0.10 ,0.15 ,0.20 ,0.08 ,0.16 ,0.04 ,0.02 ,0.47 ,0.11 ,0.01 ,0.18 ,0.01 ,0.01 ,0.05 ,0.05 ,0.05 ,0.10 ,0.14 ,0.21 ,0.11 ,0.21 ,0.07 ,2022.00 ,Combined,4000,80,960
01077,Alabama,Lauderdale,ARC,"Lauderdale County, Alabama",0.04 ,0.42 ,0.06 ,0.05 ,0.11 ,0.09 ,0.14 ,0.17 ,0.14 ,0.12 ,0.08 ,0.04 ,0.37 ,0.05 ,0.01 ,0.11 ,0.02 ,0.01 ,0.03 ,0.03 ,0.03 ,0.08 ,0.13 ,0.19 ,0.17 ,0.15 ,0.16 ,2022.00 ,Combined,4000,80,960
01079,Alabama,Lawrence,ARC,"Lawrence County, Alabama",0.03 ,0.47 ,0.06 ,0.05 ,0.10 ,0.10 ,0.14 ,0.20 ,0.14 ,0.12 ,0.04 ,0.06 ,0.43 ,0.08 ,0.01 ,0.16 ,0.03 ,0.01 ,0.04 ,0.04 ,0.05 ,0.09 ,0.14 ,0.20 ,0.15 ,0.14 ,0.11 ,2022.00 ,Combined,4000,80,960
01083,Alabama,Limestone,ARC,"Limestone County, Alabama",0.04 ,0.40 ,0.03 ,0.04 ,0.07 ,0.06 ,0.09 ,0.17 ,0.15 ,0.18 ,0.11 ,0.09 ,0.31 ,0.05 ,0.01 ,0.08 ,0.01 ,0.01 ,0.02 ,0.02 ,0.03 ,0.05 ,0.08 ,0.16 ,0.15 ,0.20 ,0.25 ,2022.00 ,Combined,4000,80,960
01087,Alabama,Macon,ARC,"Macon County, Alabama",0.13 ,0.50 ,0.12 ,0.07 ,0.13 ,0.11 ,0.14 ,0.16 ,0.11 ,0.10 ,0.03 ,0.03 ,0.41 ,0.11 ,0.01 ,0.23 ,0.04 ,0.03 ,0.04 ,0.07 ,0.05 ,0.11 ,0.16 ,0.16 ,0.13 ,0.13 ,0.09 ,2022.00 ,Combined,4000,80,960
01089,Alabama,Madison,ARC,"Madison County, Alabama",0.04 ,0.36 ,0.05 ,0.03 ,0.07 ,0.08 ,0.10 ,0.16 ,0.12 ,0.17 ,0.10 ,0.12 ,0.28 ,0.04 ,0.03 ,0.09 ,0.02 ,0.01 ,0.02 ,0.02 ,0.02 ,0.05 ,0.08 ,0.15 ,0.13 ,0.20 ,0.30 ,2022.00 ,Combined,4000,80,960
01093,Alabama,Marion,ARC,"Marion County, Alabama",0.06 ,0.48 ,0.05 ,0.09 ,0.15 ,0.08 ,0.13 ,0.17 ,0.16 ,0.12 ,0.02 ,0.03 ,0.44 ,0.10 ,0.02 ,0.15 ,0.02 ,0.01 ,0.06 ,0.06 ,0.08 ,0.08 ,0.12 ,0.18 ,0.20 ,0.14 ,0.07 ,2022.00 ,Combined,4000,80,960
01095,Alabama,Marshall,ARC,"Marshall County, Alabama",0.04 ,0.43 ,0.06 ,0.05 ,0.10 ,0.09 ,0.13 ,0.18 ,0.13 ,0.14 ,0.06 ,0.06 ,0.38 ,0.06 ,0.01 ,0.11 ,0.02 ,0.01 ,0.04 ,0.03 ,0.04 ,0.08 ,0.12 ,0.19 ,0.15 ,0.16 ,0.15 ,2022.00 ,Combined,4000,80,960
01103,Alabama,Morgan,ARC,"Morgan County, Alabama",0.04 ,0.42 ,0.05 ,0.04 ,0.09 ,0.11 ,0.12 ,0.17 ,0.12 ,0.16 ,0.08 ,0.06 ,0.36 ,0.06 ,0.01 ,0.12 ,0.02 ,0.01 ,0.03 ,0.03 ,0.04 ,0.08 ,0.10 ,0.18 ,0.14 ,0.20 ,0.18 ,2022.00 ,Combined,4000,80,960
01107,Alabama,Pickens,ARC,"Pickens County, Alabama",0.05 ,0.53 ,0.06 ,0.10 ,0.13 ,0.13 ,0.14 ,0.14 ,0.11 ,0.11 ,0.06 ,0.03 ,0.44 ,0.08 ,0.01 ,0.16 ,0.00 ,0.03 ,0.06 ,0.05 ,0.04 ,0.14 ,0.17 ,0.16 ,0.12 ,0.14 ,0.10 ,2022.00 ,Combined,4000,80,960
01111,Alabama,Randolph,ARC,"Randolph County, Alabama",0.03 ,0.50 ,0.08 ,0.08 ,0.11 ,0.10 ,0.12 ,0.17 ,0.11 ,0.15 ,0.04 ,0.04 ,0.40 ,0.09 ,0.05 ,0.16 ,0.04 ,0.02 ,0.04 ,0.04 ,0.07 ,0.10 ,0.12 ,0.17 ,0.13 ,0.17 ,0.09 ,2022.00 ,Combined,4000,80,960
01115,Alabama,St. Clair,ARC,"St. Clair County, Alabama",0.04 ,0.41 ,0.04 ,0.03 ,0.08 ,0.07 ,0.12 ,0.18 ,0.16 ,0.22 ,0.06 ,0.05 ,0.36 ,0.05 ,0.01 ,0.10 ,0.02 ,0.01 ,0.02 ,0.03 ,0.04 ,0.06 ,0.12 ,0.17 ,0.16 ,0.24 ,0.12 ,2022.00 ,Combined,4000,80,960
01117,Alabama,Shelby,ARC,"Shelby County, Alabama",0.03 ,0.34 ,0.04 ,0.02 ,0.05 ,0.06 ,0.09 ,0.16 ,0.12 ,0.21 ,0.12 ,0.13 ,0.30 ,0.03 ,0.01 ,0.05 ,0.02 ,0.01 ,0.02 ,0.02 ,0.02 ,0.05 ,0.07 ,0.16 ,0.12 ,0.23 ,0.29 ,2022.00 ,Combined,4000,80,960
01121,Alabama,Talladega,ARC,"Talladega County, Alabama",0.08 ,0.47 ,0.07 ,0.08 ,0.12 ,0.10 ,0.12 ,0.17 ,0.12 ,0.13 ,0.06 ,0.03 ,0.38 ,0.08 ,0.01 ,0.16 ,0.03 ,0.02 ,0.05 ,0.04 ,0.04 ,0.09 ,0.12 ,0.20 ,0.14 ,0.15 ,0.12 ,2022.00 ,Combined,4000,80,960
01123,Alabama,Tallapoosa,ARC,"Tallapoosa County, Alabama",0.10 ,0.49 ,0.07 ,0.07 ,0.12 ,0.09 ,0.12 ,0.19 ,0.12 ,0.11 ,0.05 ,0.04 ,0.46 ,0.07 ,0.02 ,0.18 ,0.03 ,0.02 ,0.05 ,0.05 ,0.05 ,0.08 ,0.11 ,0.22 ,0.14 ,0.13 ,0.12 ,2022.00 ,Combined,4000,80,960
01125,Alabama,Tuscaloosa,ARC,"Tuscaloosa County, Alabama",0.06 ,0.38 ,0.08 ,0.04 ,0.09 ,0.09 ,0.12 ,0.17 ,0.12 ,0.16 ,0.07 ,0.06 ,0.30 ,0.05 ,0.04 ,0.11 ,0.02 ,0.01 ,0.02 ,0.03 ,0.03 ,0.06 ,0.10 ,0.16 ,0.16 ,0.22 ,0.19 ,2022.00 ,Combined,4000,80,960
01127,Alabama,Walker,ARC,"Walker County, Alabama",0.06 ,0.48 ,0.07 ,0.07 ,0.12 ,0.10 ,0.13 ,0.16 ,0.13 ,0.15 ,0.05 ,0.03 ,0.44 ,0.08 ,0.02 ,0.15 ,0.03 ,0.01 ,0.06 ,0.04 ,0.06 ,0.09 ,0.13 ,0.17 ,0.14 ,0.18 ,0.09 ,2022.00 ,Combined,4000,80,960
01133,Alabama,Winston,ARC,"Winston County, Alabama",0.04 ,0.47 ,0.05 ,0.09 ,0.09 ,0.13 ,0.14 ,0.20 ,0.10 ,0.12 ,0.03 ,0.04 ,0.41 ,0.07 ,0.02 ,0.13 ,0.02 ,0.02 ,0.06 ,0.04 ,0.04 ,0.11 ,0.15 ,0.23 ,0.11 ,0.14 ,0.09 ,2022.00 ,Combined,4000,80,960
13011,Georgia,Banks,ARC,"Banks County, Georgia",0.02 ,0.42 ,0.04 ,0.06 ,0.09 ,0.08 ,0.11 ,0.14 ,0.18 ,0.19 ,0.06 ,0.04 ,0.36 ,0.05 ,0.01 ,0.10 ,0.03 ,0.01 ,0.03 ,0.06 ,0.03 ,0.05 ,0.12 ,0.14 ,0.19 ,0.22 ,0.13 ,2022.00 ,Combined,4000,80,960
13013,Georgia,Barrow,ARC,"Barrow County, Georgia",0.04 ,0.33 ,0.04 ,0.02 ,0.06 ,0.07 ,0.12 ,0.19 ,0.17 ,0.20 ,0.08 ,0.05 ,0.30 ,0.04 ,0.02 ,0.10 ,0.02 ,0.01 ,0.01 ,0.02 ,0.02 ,0.06 ,0.12 ,0.18 ,0.17 ,0.23 ,0.16 ,2022.00 ,Combined,4000,80,960
13015,Georgia,Bartow,ARC,"Bartow County, Georgia",0.05 ,0.36 ,0.05 ,0.03 ,0.06 ,0.07 ,0.11 ,0.17 ,0.15 ,0.21 ,0.07 ,0.07 ,0.29 ,0.06 ,0.02 ,0.08 ,0.04 ,0.01 ,0.02 ,0.02 ,0.03 ,0.06 ,0.09 ,0.16 ,0.16 ,0.25 ,0.17 ,2022.00 ,Combined,4000,80,960
13045,Georgia,Carroll,ARC,"Carroll County, Georgia",0.06 ,0.37 ,0.05 ,0.03 ,0.10 ,0.10 ,0.11 ,0.16 ,0.15 ,0.18 ,0.06 ,0.06 ,0.34 ,0.05 ,0.02 ,0.15 ,0.02 ,0.01 ,0.02 ,0.03 ,0.03 ,0.08 ,0.10 ,0.16 ,0.19 ,0.21 ,0.16 ,2022.00 ,Combined,4000,80,960
13047,Georgia,Catoosa,ARC,"Catoosa County, Georgia",0.04 ,0.38 ,0.04 ,0.03 ,0.07 ,0.08 ,0.15 ,0.18 ,0.15 ,0.18 ,0.06 ,0.07 ,0.36 ,0.03 ,0.02 ,0.11 ,0.02 ,0.01 ,0.02 ,0.02 ,0.02 ,0.05 ,0.13 ,0.17 ,0.17 ,0.21 ,0.17 ,2022.00 ,Combined,4000,80,960
13055,Georgia,Chattooga,ARC,"Chattooga County, Georgia",0.05 ,0.52 ,0.07 ,0.07 ,0.15 ,0.15 ,0.16 ,0.20 ,0.08 ,0.10 ,0.03 ,0.01 ,0.43 ,0.09 ,0.09 ,0.19 ,0.02 ,0.02 ,0.05 ,0.06 ,0.04 ,0.15 ,0.16 ,0.22 ,0.11 ,0.12 ,0.06 ,2022.00 ,Combined,4000,80,960
13057,Georgia,Cherokee,ARC,"Cherokee County, Georgia",0.04 ,0.31 ,0.03 ,0.02 ,0.04 ,0.05 ,0.08 ,0.14 ,0.13 ,0.22 ,0.14 ,0.15 ,0.28 ,0.03 ,0.01 ,0.04 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.04 ,0.06 ,0.13 ,0.13 ,0.24 ,0.34 ,2022.00 ,Combined,4000,80,960
13083,Georgia,Dade,ARC,"Dade County, Georgia",0.05 ,0.44 ,0.01 ,0.03 ,0.07 ,0.16 ,0.17 ,0.17 ,0.15 ,0.15 ,0.03 ,0.06 ,0.42 ,0.07 ,0.02 ,0.08 ,0.00 ,0.01 ,0.03 ,0.04 ,0.03 ,0.15 ,0.14 ,0.19 ,0.12 ,0.19 ,0.11 ,2022.00 ,Combined,4000,80,960
13085,Georgia,Dawson,ARC,"Dawson County, Georgia",0.05 ,0.37 ,0.04 ,0.02 ,0.04 ,0.06 ,0.11 ,0.16 ,0.14 ,0.20 ,0.10 ,0.12 ,0.35 ,0.03 ,0.02 ,0.07 ,0.02 ,0.01 ,0.01 ,0.02 ,0.01 ,0.05 ,0.10 ,0.15 ,0.13 ,0.24 ,0.26 ,2022.00 ,Combined,4000,80,960
13097,Georgia,Douglas,ARC,"Douglas County, Georgia",0.07 ,0.33 ,0.05 ,0.03 ,0.05 ,0.07 ,0.11 ,0.18 ,0.16 ,0.18 ,0.10 ,0.07 ,0.26 ,0.05 ,0.02 ,0.13 ,0.03 ,0.01 ,0.02 ,0.01 ,0.02 ,0.05 ,0.09 ,0.16 ,0.17 ,0.20 ,0.24 ,2022.00 ,Combined,4000,80,960
13105,Georgia,Elbert,ARC,"Elbert County, Georgia",0.07 ,0.42 ,0.07 ,0.06 ,0.11 ,0.11 ,0.18 ,0.14 ,0.11 ,0.14 ,0.05 ,0.03 ,0.43 ,0.10 ,0.01 ,0.15 ,0.04 ,0.02 ,0.03 ,0.06 ,0.05 ,0.10 ,0.18 ,0.17 ,0.10 ,0.17 ,0.09 ,2022.00 ,Combined,4000,80,960
13111,Georgia,Fannin,ARC,"Fannin County, Georgia",0.05 ,0.52 ,0.06 ,0.05 ,0.07 ,0.12 ,0.13 ,0.23 ,0.11 ,0.10 ,0.06 ,0.06 ,0.51 ,0.06 ,0.02 ,0.11 ,0.05 ,0.01 ,0.04 ,0.04 ,0.04 ,0.09 ,0.13 ,0.23 ,0.12 ,0.12 ,0.15 ,2022.00 ,Combined,4000,80,960
13115,Georgia,Floyd,ARC,"Floyd County, Georgia",0.04 ,0.42 ,0.05 ,0.06 ,0.10 ,0.09 ,0.14 ,0.18 ,0.10 ,0.16 ,0.06 ,0.05 ,0.36 ,0.06 ,0.02 ,0.13 ,0.02 ,0.01 ,0.02 ,0.04 ,0.03 ,0.07 ,0.12 ,0.18 ,0.12 ,0.22 ,0.17 ,2022.00 ,Combined,4000,80,960
13117,Georgia,Forsyth,ARC,"Forsyth County, Georgia",0.04 ,0.30 ,0.02 ,0.01 ,0.03 ,0.03 ,0.06 ,0.10 ,0.11 ,0.22 ,0.16 ,0.27 ,0.23 ,0.02 ,0.01 ,0.03 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.03 ,0.05 ,0.08 ,0.10 ,0.22 ,0.48 ,2022.00 ,Combined,4000,80,960
13119,Georgia,Franklin,ARC,"Franklin County, Georgia",0.06 ,0.47 ,0.08 ,0.06 ,0.11 ,0.08 ,0.14 ,0.19 ,0.13 ,0.11 ,0.04 ,0.04 ,0.42 ,0.05 ,0.02 ,0.13 ,0.04 ,0.02 ,0.05 ,0.05 ,0.06 ,0.08 ,0.14 ,0.20 ,0.12 ,0.15 ,0.11 ,2022.00 ,Combined,4000,80,960
13123,Georgia,Gilmer,ARC,"Gilmer County, Georgia",0.02 ,0.47 ,0.04 ,0.04 ,0.10 ,0.10 ,0.09 ,0.16 ,0.18 ,0.17 ,0.06 ,0.05 ,0.49 ,0.06 ,0.02 ,0.08 ,0.03 ,0.01 ,0.03 ,0.04 ,0.04 ,0.08 ,0.08 ,0.17 ,0.20 ,0.19 ,0.14 ,2022.00 ,Combined,4000,80,960
13129,Georgia,Gordon,ARC,"Gordon County, Georgia",0.03 ,0.40 ,0.05 ,0.05 ,0.10 ,0.10 ,0.14 ,0.18 ,0.13 ,0.14 ,0.06 ,0.06 ,0.34 ,0.06 ,0.02 ,0.09 ,0.02 ,0.02 ,0.04 ,0.04 ,0.03 ,0.07 ,0.12 ,0.18 ,0.15 ,0.17 ,0.16 ,2022.00 ,Combined,4000,80,960
13135,Georgia,Gwinnett,ARC,"Gwinnett County, Georgia",0.04 ,0.32 ,0.04 ,0.02 ,0.05 ,0.07 ,0.10 ,0.17 ,0.14 ,0.20 ,0.10 ,0.11 ,0.22 ,0.03 ,0.02 ,0.07 ,0.02 ,0.01 ,0.02 ,0.02 ,0.02 ,0.05 ,0.08 ,0.15 ,0.14 ,0.23 ,0.29 ,2022.00 ,Combined,4000,80,960
13137,Georgia,Habersham,ARC,"Habersham County, Georgia",0.02 ,0.42 ,0.05 ,0.06 ,0.08 ,0.10 ,0.13 ,0.18 ,0.12 ,0.15 ,0.06 ,0.06 ,0.39 ,0.05 ,0.02 ,0.13 ,0.02 ,0.02 ,0.05 ,0.04 ,0.03 ,0.09 ,0.12 ,0.19 ,0.13 ,0.18 ,0.15 ,2022.00 ,Combined,4000,80,960
13139,Georgia,Hall,ARC,"Hall County, Georgia",0.04 ,0.36 ,0.04 ,0.03 ,0.07 ,0.07 ,0.11 ,0.19 ,0.14 ,0.17 ,0.09 ,0.10 ,0.31 ,0.05 ,0.02 ,0.09 ,0.01 ,0.01 ,0.02 ,0.02 ,0.03 ,0.05 ,0.09 ,0.18 ,0.14 ,0.20 ,0.24 ,2022.00 ,Combined,4000,80,960
13143,Georgia,Haralson,ARC,"Haralson County, Georgia",0.04 ,0.38 ,0.07 ,0.04 ,0.08 ,0.05 ,0.13 ,0.19 ,0.15 ,0.13 ,0.11 ,0.05 ,0.36 ,0.08 ,0.02 ,0.13 ,0.04 ,0.02 ,0.03 ,0.04 ,0.03 ,0.06 ,0.10 ,0.17 ,0.14 ,0.16 ,0.20 ,2022.00 ,Combined,4000,80,960
13147,Georgia,Hart,ARC,"Hart County, Georgia",0.05 ,0.45 ,0.06 ,0.05 ,0.10 ,0.09 ,0.13 ,0.19 ,0.14 ,0.15 ,0.05 ,0.05 ,0.43 ,0.05 ,0.01 ,0.12 ,0.02 ,0.02 ,0.03 ,0.03 ,0.04 ,0.09 ,0.10 ,0.21 ,0.17 ,0.17 ,0.12 ,2022.00 ,Combined,4000,80,960
13149,Georgia,Heard,ARC,"Heard County, Georgia",0.05 ,0.46 ,0.06 ,0.07 ,0.11 ,0.07 ,0.12 ,0.18 ,0.15 ,0.14 ,0.05 ,0.05 ,0.39 ,0.12 ,0.02 ,0.25 ,0.01 ,0.02 ,0.04 ,0.03 ,0.07 ,0.07 ,0.13 ,0.19 ,0.14 ,0.17 ,0.13 ,2022.00 ,Combined,4000,80,960
