Parcel,St Number,St Name,City,County,State,Country,meter count,Notes,Built Yr,Effective Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24426,464,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1967,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24241,476,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1966,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23768,490,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1965,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24383,496,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1965,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24868,504,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1965,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24978,779,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1954,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24306,808,ACADEMY HEIGHTS RD,Kinston,Lenoir,NC,USA,1,,1901,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10417,1204,AIRLEE AVE,Kinston,Lenoir,NC,USA,1,,1962,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10715,1207,AIRLEE AVE,Kinston,Lenoir,NC,USA,1,,1962,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14293,1100,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1960,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12575,1101,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1957,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7724,1102,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1959,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5342,1105,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1956,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6301,1107,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1955,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12462,1109,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1956,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12845,1202,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11412,1203,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12026,1205,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4948,1206,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11439,1208,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1961,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14104,1209,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14248,1210,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7869,1211,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7868,1212,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7866,1213,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1963,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8929,1214,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1961,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5917,1215,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5598,1216,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1963,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14105,1217,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4873,1219,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1963,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4868,1300,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1963,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6174,1301,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1964,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9238,1302,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1963,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13718,1303,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9736,1304,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5479,1305,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8398,1306,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14297,1307,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9695,1308,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14286,1309,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7795,1311,AIRLEE DR,Kinston,Lenoir,NC,USA,1,,1962,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35189,502,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1939,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12581,920,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1964,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11959,1010,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1969,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31466,1317,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1901,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24307,1320,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1930,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31465,1325,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1962,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23887,1327,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1953,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24308,1414,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1953,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24309,1416,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1955,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24311,1418,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1955,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24691,1504,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1955,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23895,1506,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1953,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24870,1508,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1953,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23866,2499,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1965,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23993,2519,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1966,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24149,2527,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1971,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23788,2535,AIRPORT RD,Kinston,Lenoir,NC,USA,1,,1973,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13794,205,ALEXANDER ST,Kinston,Lenoir,NC,USA,1,,1948,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10975,353,ALEXANDER ST,Kinston,Lenoir,NC,USA,1,,1901,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716,403,ALLENS ALLEY,Kinston,Lenoir,NC,USA,1,,1965,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712,404,ALLENS ALLEY,Kinston,Lenoir,NC,USA,1,,1956,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13319,1901,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1970,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13131,1902,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1970,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13238,1903,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1962,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11323,1904,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1970,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11116,1905,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1962,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12730,1907,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1961,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11269,1909,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1961,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11221,1911,ANDREW JOHNSON DR,Kinston,Lenoir,NC,USA,1,,1961,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13965,1200,ANNE DR,Kinston,Lenoir,NC,USA,1,,1959,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5879,1201,ANNE DR,Kinston,Lenoir,NC,USA,1,,1960,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11114,1202,ANNE DR,Kinston,Lenoir,NC,USA,1,,1959,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12053,1203,ANNE DR,Kinston,Lenoir,NC,USA,1,,1957,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12024,1204,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5733,1205,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11974,1206,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13831,1207,ANNE DR,Kinston,Lenoir,NC,USA,1,,1958,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8979,1208,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6414,1209,ANNE DR,Kinston,Lenoir,NC,USA,1,,1955,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7821,1210,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,1211,ANNE DR,Kinston,Lenoir,NC,USA,1,,1955,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14156,1212,ANNE DR,Kinston,Lenoir,NC,USA,1,,1958,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6524,1213,ANNE DR,Kinston,Lenoir,NC,USA,1,,1954,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13387,1214,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8944,1216,ANNE DR,Kinston,Lenoir,NC,USA,1,,1956,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,2515,ARRENDELL HODGES LN,Kinston,Lenoir,NC,USA,1,,1974,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870,807,ARROW DR,Kinston,Lenoir,NC,USA,1,,1976,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8328,808,ARROW DR,Kinston,Lenoir,NC,USA,1,,1977,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18701,226,ARTHUR LN,Kinston,Lenoir,NC,USA,1,,1964,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11829,302,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1926,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26728,307,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1901,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7706,311,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1915,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14173,410,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1932,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732,502,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1901,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13859,504,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1901,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12221,505,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1949,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7638,506,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1930,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6439,507,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1938,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13201,703,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1947,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7434,901,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1958,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9425,907,ATLANTIC AVE,Kinston,Lenoir,NC,USA,1,,1935,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,3504,BAILEY ST,Kinston,Lenoir,NC,USA,1,,1966,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,3506,BAILEY ST,Kinston,Lenoir,NC,USA,1,,1960,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3779,3508,BAILEY ST,Kinston,Lenoir,NC,USA,1,,1955,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,1947,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1971,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3619,1955,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1961,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3186,1971,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1964,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,1981,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1964,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,1987,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1970,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3910,2036,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1964,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,2039,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1970,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3711,2046,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1964,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3298,2053,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1970,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2097,2056,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1963,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,2064,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1963,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3516,2067,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1968,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2074,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1969,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,2075,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1968,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,2081,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1971,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,2084,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1963,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,2092,BANKS SCHOOL RD,Kinston,Lenoir,NC,USA,1,,1964,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
