FIPS,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:,"Estimate!!Total:!!Owner occupied:!!Less than $5,000","Percentage of Less than $5,000","Estimate!!Total:!!Owner occupied:!!$5,000 to $9,999","Percentage of $5,000 to $9,999","Estimate!!Total:!!Owner occupied:!!$10,000 to $14,999","Percentage of $10,000 to $14,999","Estimate!!Total:!!Owner occupied:!!$15,000 to $19,999","Percentage of $15,000 to $19,999","Estimate!!Total:!!Owner occupied:!!$20,000 to $24,999","Percentage of $20,000 to $24,999","Estimate!!Total:!!Owner occupied:!!$25,000 to $34,999","Percentage of $25,000 to $34,999","Estimate!!Total:!!Owner occupied:!!$35,000 to $49,999","Percentage of $35,000 to $49,999","Estimate!!Total:!!Owner occupied:!!$50,000 to $74,999","Percentage of $50,000 to $74,999","Estimate!!Total:!!Owner occupied:!!$75,000 to $99,999","Percentage of $75,000 to $99,999","Estimate!!Total:!!Owner occupied:!!$100,000 to $149,999","Percentage of $100,000 to $149,999","Estimate!!Total:!!Owner occupied:!!$150,000 or more","Percentage of $150,000 or more"
01025,"Clarke County, Alabama",8188,5916,267,4.51 ,106,1.79 ,257,4.34 ,225,3.8,316,5.34,640,10.82,681,11.51,1183,20,751,12.69,900,15.21,590,9.97
01027,"Clay County, Alabama",5485,4297,187,4.35 ,132,3.07 ,223,5.19 ,147,3.42,130,3.03,315,7.33,727,16.92,825,19.2,443,10.31,680,15.82,488,11.36
01029,"Cleburne County, Alabama",5761,4496,133,2.96 ,71,1.58 ,201,4.47 ,150,3.34,220,4.89,425,9.45,587,13.06,839,18.66,790,17.57,692,15.39,388,8.63
01031,"Coffee County, Alabama",20363,14145,336,2.38 ,173,1.22 ,508,3.59 ,489,3.46,419,2.96,1068,7.55,1796,12.7,2272,16.06,1964,13.88,3004,21.24,2116,14.96
01033,"Colbert County, Alabama",23266,16520,416,2.52 ,235,1.42 ,708,4.29 ,468,2.83,634,3.84,1110,6.72,2138,12.94,3407,20.62,2558,15.48,2998,18.15,1848,11.19
01035,"Conecuh County, Alabama",4453,3326,107,3.22 ,45,1.35 ,171,5.14 ,209,6.28,241,7.25,403,12.12,572,17.2,594,17.86,314,9.44,504,15.15,166,4.99
01037,"Coosa County, Alabama",3999,3249,43,1.32 ,11,0.34 ,122,3.76 ,133,4.09,149,4.59,316,9.73,554,17.05,653,20.1,450,13.85,584,17.97,234,7.2
01039,"Covington County, Alabama",14194,10642,241,2.26 ,210,1.97 ,615,5.78 ,567,5.33,422,3.97,931,8.75,1398,13.14,2026,19.04,1422,13.36,1608,15.11,1202,11.29
01041,"Crenshaw County, Alabama",4839,3609,164,4.54 ,103,2.85 ,230,6.37 ,203,5.62,200,5.54,354,9.81,483,13.38,520,14.41,511,14.16,433,12,408,11.31
01043,"Cullman County, Alabama",33649,25640,546,2.13 ,399,1.56 ,1045,4.08 ,843,3.29,1100,4.29,2343,9.14,3373,13.16,4505,17.57,3901,15.21,4251,16.58,3334,13
01045,"Dale County, Alabama",19400,11669,270,2.31 ,236,2.02 ,506,4.34 ,497,4.26,563,4.82,898,7.7,1572,13.47,2111,18.09,1702,14.59,2051,17.58,1263,10.82
01047,"Dallas County, Alabama",14753,9060,341,3.76 ,253,2.79 ,428,4.72 ,593,6.55,712,7.86,1084,11.96,1212,13.38,1708,18.85,918,10.13,1086,11.99,725,8
01049,"DeKalb County, Alabama",25690,18974,566,2.98 ,198,1.04 ,889,4.69 ,1038,5.47,784,4.13,2000,10.54,2690,14.18,3857,20.33,2720,14.34,2697,14.21,1535,8.09
01051,"Elmore County, Alabama",32184,24812,427,1.72 ,303,1.22 ,515,2.08 ,669,2.7,545,2.2,1412,5.69,2590,10.44,4174,16.82,4778,19.26,5237,21.11,4162,16.77
01053,"Escambia County, Alabama",13022,8744,310,3.55 ,278,3.18 ,297,3.40 ,479,5.48,485,5.55,1120,12.81,1342,15.35,1611,18.42,1116,12.76,953,10.9,753,8.61
01055,"Etowah County, Alabama",38791,28454,846,2.97 ,397,1.40 ,852,2.99 ,1399,4.92,1643,5.77,2455,8.63,3972,13.96,5515,19.38,3818,13.42,4571,16.06,2986,10.49
01057,"Fayette County, Alabama",6143,4659,183,3.93 ,85,1.82 ,255,5.47 ,330,7.08,183,3.93,571,12.26,461,9.89,726,15.58,616,13.22,843,18.09,406,8.71
01059,"Franklin County, Alabama",11239,8231,199,2.42 ,237,2.88 ,374,4.54 ,375,4.56,617,7.5,782,9.5,1079,13.11,1300,15.79,1288,15.65,1137,13.81,843,10.24
01061,"Geneva County, Alabama",10391,7870,196,2.49 ,72,0.91 ,205,2.60 ,515,6.54,247,3.14,978,12.43,1212,15.4,1623,20.62,1032,13.11,1145,14.55,645,8.2
01063,"Greene County, Alabama",2872,2112,94,4.45 ,35,1.66 ,251,11.88 ,116,5.49,110,5.21,467,22.11,176,8.33,348,16.48,242,11.46,155,7.34,118,5.59
01065,"Hale County, Alabama",5403,4187,95,2.27 ,183,4.37 ,502,11.99 ,308,7.36,233,5.56,450,10.75,428,10.22,576,13.76,600,14.33,526,12.56,286,6.83
01067,"Henry County, Alabama",6686,5454,221,4.05 ,134,2.46 ,109,2.00 ,392,7.19,193,3.54,566,10.38,449,8.23,907,16.63,797,14.61,1106,20.28,580,10.63
01069,"Houston County, Alabama",41543,27196,602,2.21 ,435,1.60 ,960,3.53 ,1041,3.83,1233,4.53,1962,7.21,3374,12.41,4657,17.12,3920,14.41,4611,16.95,4401,16.18
01071,"Jackson County, Alabama",20670,15733,392,2.49 ,241,1.53 ,646,4.11 ,852,5.42,952,6.05,1655,10.52,2520,16.02,2572,16.35,2100,13.35,2326,14.78,1477,9.39
01073,"Jefferson County, Alabama",265794,170356,3651,2.14 ,3046,1.79 ,4708,2.76 ,4936,2.9,5854,3.44,10170,5.97,15891,9.33,28203,16.56,23297,13.68,30042,17.63,40558,23.81
01075,"Lamar County, Alabama",5168,3858,21,0.54 ,30,0.78 ,185,4.80 ,199,5.16,200,5.18,370,9.59,542,14.05,814,21.1,417,10.81,796,20.63,284,7.36
01077,"Lauderdale County, Alabama",38237,25815,504,1.95 ,275,1.07 ,807,3.13 ,742,2.87,759,2.94,1957,7.58,3399,13.17,4815,18.65,4363,16.9,3973,15.39,4221,16.35
01079,"Lawrence County, Alabama",12829,10191,259,2.54 ,138,1.35 ,399,3.92 ,420,4.12,553,5.43,913,8.96,1427,14,2002,19.64,1532,15.03,1390,13.64,1158,11.36
01081,"Lee County, Alabama",65166,42517,1494,3.51 ,803,1.89 ,1035,2.43 ,1376,3.24,1420,3.34,2298,5.4,4243,9.98,6327,14.88,5999,14.11,8973,21.1,8549,20.11
01083,"Limestone County, Alabama",38572,29968,432,1.44 ,415,1.38 ,567,1.89 ,742,2.48,951,3.17,1638,5.47,2348,7.84,4908,16.38,4513,15.06,6066,20.24,7388,24.65
01085,"Lowndes County, Alabama",4001,3100,124,4.00 ,115,3.71 ,373,12.03 ,257,8.29,172,5.55,354,11.42,305,9.84,453,14.61,371,11.97,337,10.87,239,7.71
01087,"Macon County, Alabama",7131,4489,183,4.08 ,140,3.12 ,173,3.85 ,311,6.93,240,5.35,481,10.72,714,15.91,705,15.71,575,12.81,575,12.81,392,8.73
01089,"Madison County, Alabama",159569,108545,1988,1.83 ,987,0.91 ,1748,1.61 ,2274,2.09,2582,2.38,5615,5.17,8976,8.27,16031,14.77,14115,13,22060,20.32,32169,29.64
01091,"Marengo County, Alabama",7379,5038,203,4.03 ,78,1.55 ,346,6.87 ,401,7.96,223,4.43,331,6.57,613,12.17,963,19.11,607,12.05,658,13.06,615,12.21
01093,"Marion County, Alabama",11018,8031,132,1.64 ,102,1.27 ,460,5.73 ,448,5.58,605,7.53,651,8.11,936,11.65,1462,18.2,1594,19.85,1099,13.68,542,6.75
01095,"Marshall County, Alabama",35930,27083,666,2.46 ,270,1.00 ,1017,3.76 ,910,3.36,1204,4.45,2248,8.3,3218,11.88,5227,19.3,4150,15.32,4247,15.68,3926,14.5
01097,"Mobile County, Alabama",159605,101334,2203,2.17 ,1303,1.29 ,3189,3.15 ,3874,3.82,3251,3.21,7131,7.04,13070,12.9,19012,18.76,14111,13.93,18072,17.83,16118,15.91
01099,"Monroe County, Alabama",7298,5285,260,4.92 ,116,2.19 ,177,3.35 ,380,7.19,484,9.16,719,13.6,539,10.2,858,16.23,718,13.59,636,12.03,398,7.53
01101,"Montgomery County, Alabama",89721,51349,1644,3.20 ,728,1.42 ,1446,2.82 ,1668,3.25,1421,2.77,3350,6.52,6050,11.78,9610,18.72,7235,14.09,9567,18.63,8630,16.81
01103,"Morgan County, Alabama",48004,34922,742,2.12 ,458,1.31 ,920,2.63 ,983,2.81,1251,3.58,2774,7.94,3631,10.4,6117,17.52,4839,13.86,6892,19.74,6315,18.08
01105,"Perry County, Alabama",3075,2157,38,1.76 ,55,2.55 ,237,10.99 ,199,9.23,108,5.01,361,16.74,515,23.88,318,14.74,155,7.19,116,5.38,55,2.55
01107,"Pickens County, Alabama",7083,5253,26,0.49 ,132,2.51 ,294,5.60 ,254,4.84,197,3.75,718,13.67,875,16.66,840,15.99,654,12.45,753,14.33,510,9.71
01109,"Pike County, Alabama",11996,7561,189,2.50 ,225,2.98 ,205,2.71 ,346,4.58,395,5.22,582,7.7,1058,13.99,1263,16.7,922,12.19,1393,18.42,983,13
01111,"Randolph County, Alabama",8729,6917,253,3.66 ,152,2.20 ,297,4.29 ,300,4.34,511,7.39,662,9.57,843,12.19,1198,17.32,866,12.52,1204,17.41,631,9.12
01113,"Russell County, Alabama",23462,14351,686,4.78 ,314,2.19 ,654,4.56 ,1053,7.34,536,3.73,990,6.9,1843,12.84,2930,20.42,2100,14.63,1821,12.69,1424,9.92
01115,"St. Clair County, Alabama",33838,27658,637,2.30 ,170,0.61 ,654,2.36 ,732,2.65,1185,4.28,1640,5.93,3195,11.55,4830,17.46,4513,16.32,6673,24.13,3429,12.4
01117,"Shelby County, Alabama",83776,67810,1356,2.00 ,639,0.94 ,1179,1.74 ,1223,1.8,1248,1.84,3323,4.9,4601,6.79,10637,15.69,8224,12.13,15395,22.7,19985,29.47
01119,"Sumter County, Alabama",4798,3324,69,2.08 ,146,4.39 ,264,7.94 ,227,6.83,396,11.91,402,12.09,420,12.64,499,15.01,419,12.61,325,9.78,157,4.72
01121,"Talladega County, Alabama",32359,23275,737,3.17 ,381,1.64 ,1265,5.44 ,898,3.86,973,4.18,2087,8.97,2710,11.64,4651,19.98,3197,13.74,3480,14.95,2896,12.44
01123,"Tallapoosa County, Alabama",16438,12409,382,3.08 ,279,2.25 ,568,4.58 ,641,5.17,636,5.13,1007,8.12,1424,11.48,2712,21.86,1717,13.84,1587,12.79,1456,11.73
01125,"Tuscaloosa County, Alabama",84743,52792,1188,2.25 ,713,1.35 ,1024,1.94 ,1556,2.95,1501,2.84,2955,5.6,5303,10.05,8519,16.14,8216,15.56,11797,22.35,10020,18.98
01127,"Walker County, Alabama",24718,19152,560,2.92 ,249,1.30 ,1056,5.51 ,820,4.28,1117,5.83,1775,9.27,2491,13.01,3288,17.17,2592,13.53,3422,17.87,1782,9.3
01129,"Washington County, Alabama",5506,4868,234,4.81 ,133,2.73 ,517,10.62 ,198,4.07,197,4.05,432,8.87,412,8.46,614,12.61,405,8.32,916,18.82,810,16.64
01131,"Wilcox County, Alabama",3579,2844,67,2.36 ,113,3.97 ,345,12.13 ,89,3.13,290,10.2,277,9.74,540,18.99,400,14.06,360,12.66,229,8.05,134,4.71
01133,"Winston County, Alabama",9103,7122,169,2.37 ,109,1.53 ,416,5.84 ,250,3.51,301,4.23,783,10.99,1056,14.83,1653,23.21,808,11.35,967,13.58,610,8.57
02013,"Aleutians East Borough, Alaska",899,529,5,0.95 ,13,2.46 ,12,2.27 ,21,3.97,40,7.56,30,5.67,42,7.94,94,17.77,53,10.02,112,21.17,107,20.23
02016,"Aleutians West Census Area, Alaska",969,268,1,0.37 ,2,0.75 ,2,0.75 ,3,1.12,2,0.75,7,2.61,19,7.09,57,21.27,32,11.94,52,19.4,91,33.96
02020,"Anchorage Municipality, Alaska",107134,68356,883,1.29 ,327,0.48 ,762,1.11 ,1154,1.69,564,0.83,1857,2.72,3580,5.24,8287,12.12,9221,13.49,15342,22.44,26379,38.59
02050,"Bethel Census Area, Alaska",4565,2693,100,3.71 ,118,4.38 ,104,3.86 ,148,5.5,124,4.6,245,9.1,281,10.43,364,13.52,317,11.77,375,13.92,517,19.2
02060,"Bristol Bay Borough, Alaska",284,144,0,0.00 ,0,0.00 ,2,1.39 ,0,0,6,4.17,12,8.33,15,10.42,29,20.14,18,12.5,20,13.89,42,29.17
02063,"Chugach Census Area, Alaska",2755,1725,0,0.00 ,3,0.17 ,77,4.46 ,7,0.41,53,3.07,79,4.58,95,5.51,263,15.25,294,17.04,407,23.59,447,25.91
02066,"Copper River Census Area, Alaska",1090,750,9,1.20 ,3,0.40 ,21,2.80 ,28,3.73,34,4.53,45,6,61,8.13,163,21.73,99,13.2,189,25.2,98,13.07
02068,"Denali Borough, Alaska",525,456,5,1.10 ,0,0.00 ,9,1.97 ,15,3.29,45,9.87,18,3.95,23,5.04,64,14.04,80,17.54,62,13.6,135,29.61
02070,"Dillingham Census Area, Alaska",1384,841,11,1.31 ,19,2.26 ,30,3.57 ,27,3.21,34,4.04,57,6.78,104,12.37,138,16.41,126,14.98,163,19.38,132,15.7
02090,"Fairbanks North Star Borough, Alaska",35824,21494,342,1.59 ,117,0.54 ,360,1.67 ,313,1.46,500,2.33,844,3.93,1554,7.23,2780,12.93,3324,15.46,4516,21.01,6844,31.84
02100,"Haines Borough, Alaska",786,548,12,2.19 ,6,1.09 ,14,2.55 ,26,4.74,45,8.21,18,3.28,43,7.85,113,20.62,77,14.05,129,23.54,65,11.86
02105,"Hoonah-Angoon Census Area, Alaska",867,646,2,0.31 ,19,2.94 ,40,6.19 ,17,2.63,20,3.1,55,8.51,91,14.09,113,17.49,99,15.33,82,12.69,108,16.72
02110,"Juneau City and Borough, Alaska",13017,8365,76,0.91 ,21,0.25 ,104,1.24 ,101,1.21,141,1.69,152,1.82,557,6.66,1002,11.98,1305,15.6,1854,22.16,3052,36.49
02122,"Kenai Peninsula Borough, Alaska",23201,17808,621,3.49 ,246,1.38 ,445,2.50 ,466,2.62,489,2.75,911,5.12,1758,9.87,2812,15.79,2471,13.88,3725,20.92,3864,21.7
02130,"Ketchikan Gateway Borough, Alaska",5568,3656,69,1.89 ,69,1.89 ,20,0.55 ,69,1.89,60,1.64,136,3.72,255,6.97,543,14.85,511,13.98,810,22.16,1114,30.47
02150,"Kodiak Island Borough, Alaska",4415,2500,34,1.36 ,28,1.12 ,36,1.44 ,31,1.24,60,2.4,31,1.24,325,13,346,13.84,327,13.08,677,27.08,605,24.2
02158,"Kusilvak Census Area, Alaska",1864,1322,63,4.77 ,71,5.37 ,72,5.45 ,67,5.07,84,6.35,134,10.14,243,18.38,285,21.56,127,9.61,104,7.87,72,5.45
02164,"Lake and Peninsula Borough, Alaska",326,219,7,3.20 ,0,0.00 ,10,4.57 ,6,2.74,13,5.94,21,9.59,38,17.35,33,15.07,37,16.89,34,15.53,20,9.13
02170,"Matanuska-Susitna Borough, Alaska",39290,30043,643,2.14 ,281,0.94 ,422,1.40 ,485,1.61,672,2.24,1349,4.49,2420,8.06,4285,14.26,4562,15.18,6838,22.76,8086,26.91
02180,"Nome Census Area, Alaska",2786,1745,61,3.50 ,37,2.12 ,49,2.81 ,113,6.48,75,4.3,152,8.71,146,8.37,283,16.22,206,11.81,260,14.9,363,20.8
02185,"North Slope Borough, Alaska",2168,1012,7,0.69 ,70,6.92 ,15,1.48 ,12,1.19,24,2.37,48,4.74,151,14.92,132,13.04,107,10.57,198,19.57,248,24.51
02188,"Northwest Arctic Borough, Alaska",1776,1083,34,3.14 ,23,2.12 ,29,2.68 ,34,3.14,37,3.42,64,5.91,126,11.63,189,17.45,117,10.8,179,16.53,251,23.18
02195,"Petersburg Borough, Alaska",1254,920,5,0.54 ,3,0.33 ,9,0.98 ,48,5.22,8,0.87,32,3.48,120,13.04,142,15.43,192,20.87,133,14.46,228,24.78
02198,"Prince of Wales-Hyder Census Area, Alaska",2334,1695,25,1.47 ,34,2.01 ,51,3.01 ,51,3.01,66,3.89,135,7.96,196,11.56,322,19,257,15.16,283,16.7,275,16.22
02220,"Sitka City and Borough, Alaska",3459,2231,19,0.85 ,10,0.45 ,15,0.67 ,27,1.21,5,0.22,64,2.87,159,7.13,255,11.43,409,18.33,664,29.76,604,27.07
02230,"Skagway Municipality, Alaska",410,269,5,1.86 ,0,0.00 ,2,0.74 ,1,0.37,0,0,54,20.07,17,6.32,33,12.27,42,15.61,65,24.16,50,18.59
02240,"Southeast Fairbanks Census Area, Alaska",2189,1642,30,1.83 ,35,2.13 ,65,3.96 ,63,3.84,167,10.17,81,4.93,128,7.8,142,8.65,296,18.03,395,24.06,240,14.62
02275,"Wrangell City and Borough, Alaska",928,605,2,0.33 ,3,0.50 ,0,0.00 ,5,0.83,27,4.46,72,11.9,117,19.34,93,15.37,86,14.21,98,16.2,102,16.86
02282,"Yakutat City and Borough, Alaska",231,129,0,0.00 ,1,0.78 ,0,0.00 ,11,8.53,1,0.78,7,5.43,6,4.65,36,27.91,20,15.5,30,23.26,17,13.18
02290,"Yukon-Koyukuk Census Area, Alaska",2078,1504,75,4.99 ,65,4.32 ,81,5.39 ,161,10.7,82,5.45,142,9.44,166,11.04,276,18.35,156,10.37,170,11.3,130,8.64
04001,"Apache County, Arizona",19786,15838,2204,13.92 ,663,4.19 ,1300,8.21 ,772,4.87,1079,6.81,1824,11.52,1800,11.37,2228,14.07,1481,9.35,1567,9.89,920,5.81
04003,"Cochise County, Arizona",49680,34882,892,2.56 ,718,2.06 ,1133,3.25 ,1192,3.42,1429,4.1,2828,8.11,4448,12.75,6637,19.03,4762,13.65,5854,16.78,4989,14.3
04005,"Coconino County, Arizona",51993,30705,965,3.14 ,488,1.59 ,1004,3.27 ,843,2.75,891,2.9,2234,7.28,2685,8.74,5061,16.48,3510,11.43,6185,20.14,6839,22.27
04007,"Gila County, Arizona",22714,17178,749,4.36 ,442,2.57 ,543,3.16 ,792,4.61,777,4.52,1765,10.27,2323,13.52,3349,19.5,2303,13.41,2342,13.63,1793,10.44
04009,"Graham County, Arizona",12018,8824,311,3.52 ,211,2.39 ,216,2.45 ,170,1.93,312,3.54,703,7.97,1101,12.48,1618,18.34,1655,18.76,1371,15.54,1156,13.1
04011,"Greenlee County, Arizona",3304,1857,127,6.84 ,0,0.00 ,70,3.77 ,45,2.42,149,8.02,160,8.62,223,12.01,342,18.42,272,14.65,310,16.69,159,8.56
04012,"La Paz County, Arizona",8911,6092,460,7.55 ,164,2.69 ,374,6.14 ,379,6.22,245,4.02,736,12.08,1038,17.04,1107,18.17,621,10.19,495,8.13,473,7.76
04013,"Maricopa County, Arizona",1665560,1071054,20752,1.94 ,10834,1.01 ,15533,1.45 ,20007,1.87,23342,2.18,52068,4.86,87629,8.18,162330,15.16,148399,13.86,229993,21.47,300167,28.03
04015,"Mohave County, Arizona",95169,69067,2365,3.42 ,1069,1.55 ,2762,4.00 ,2836,4.11,3414,4.94,6796,9.84,9190,13.31,13646,19.76,9410,13.62,10876,15.75,6703,9.71
04017,"Navajo County, Arizona",37565,27163,1763,6.49 ,837,3.08 ,1446,5.32 ,1080,3.98,1510,5.56,2650,9.76,3308,12.18,4676,17.21,3472,12.78,4151,15.28,2270,8.36
04019,"Pima County, Arizona",423075,271377,5549,2.04 ,2913,1.07 ,6333,2.33 ,7642,2.82,8639,3.18,18254,6.73,28404,10.47,45608,16.81,40018,14.75,52546,19.36,55471,20.44
04021,"Pinal County, Arizona",151490,120657,3535,2.93 ,1194,0.99 ,1846,1.53 ,2952,2.45,3371,2.79,7827,6.49,12787,10.6,23366,19.37,18877,15.65,25260,20.94,19642,16.28
04023,"Santa Cruz County, Arizona",16651,11190,192,1.72 ,176,1.57 ,318,2.84 ,343,3.07,386,3.45,1236,11.05,1585,14.16,2154,19.25,1446,12.92,1944,17.37,1410,12.6
04025,"Yavapai County, Arizona",106542,77893,1920,2.46 ,1163,1.49 ,2132,2.74 ,2541,3.26,3234,4.15,6325,8.12,10287,13.21,13985,17.95,11204,14.38,13224,16.98,11878,15.25
04027,"Yuma County, Arizona",74678,51575,1617,3.14 ,1109,2.15 ,1836,3.56 ,2062,4,2256,4.37,4351,8.44,6112,11.85,10567,20.49,7904,15.33,7897,15.31,5864,11.37
05001,"Arkansas County, Arkansas",6559,4345,61,1.40 ,91,2.09 ,118,2.72 ,190,4.37,148,3.41,252,5.8,401,9.23,1012,23.29,783,18.02,842,19.38,447,10.29
05003,"Ashley County, Arkansas",7194,5347,293,5.48 ,35,0.65 ,299,5.59 ,390,7.29,230,4.3,451,8.43,814,15.22,1087,20.33,663,12.4,787,14.72,298,5.57
05005,"Baxter County, Arkansas",19021,14142,258,1.82 ,237,1.68 ,420,2.97 ,607,4.29,1132,8,1677,11.86,2251,15.92,3059,21.63,1773,12.54,1649,11.66,1079,7.63
05007,"Benton County, Arkansas",104164,70667,798,1.13 ,403,0.57 ,867,1.23 ,1360,1.92,1642,2.32,3314,4.69,5925,8.38,10895,15.42,10344,14.64,15153,21.44,19966,28.25
05009,"Boone County, Arkansas",15172,10640,103,0.97 ,193,1.81 ,396,3.72 ,252,2.37,578,5.43,1029,9.67,1675,15.74,2326,21.86,1554,14.61,1370,12.88,1164,10.94
05011,"Bradley County, Arkansas",3587,2329,42,1.80 ,106,4.55 ,137,5.88 ,152,6.53,206,8.84,159,6.83,269,11.55,478,20.52,277,11.89,259,11.12,244,10.48
05013,"Calhoun County, Arkansas",1498,1295,27,2.08 ,23,1.78 ,60,4.63 ,113,8.73,23,1.78,166,12.82,70,5.41,371,28.65,188,14.52,154,11.89,100,7.72
05015,"Carroll County, Arkansas",11357,8682,214,2.46 ,205,2.36 ,412,4.75 ,467,5.38,263,3.03,758,8.73,910,10.48,1759,20.26,1434,16.52,1353,15.58,907,10.45
05017,"Chicot County, Arkansas",4008,2723,121,4.44 ,120,4.41 ,241,8.85 ,96,3.53,159,5.84,337,12.38,336,12.34,493,18.11,337,12.38,148,5.44,335,12.3
05019,"Clark County, Arkansas",7955,4964,102,2.05 ,102,2.05 ,99,1.99 ,168,3.38,342,6.89,407,8.2,770,15.51,906,18.25,783,15.77,852,17.16,433,8.72
05021,"Clay County, Arkansas",6063,4455,186,4.18 ,107,2.40 ,287,6.44 ,254,5.7,201,4.51,460,10.33,635,14.25,698,15.67,803,18.02,508,11.4,316,7.09
05023,"Cleburne County, Arkansas",10626,8360,234,2.80 ,69,0.83 ,315,3.77 ,513,6.14,439,5.25,719,8.6,1306,15.62,1779,21.28,1044,12.49,1012,12.11,930,11.12
05025,"Cleveland County, Arkansas",2742,2292,63,2.75 ,6,0.26 ,83,3.62 ,204,8.9,146,6.37,290,12.65,273,11.91,274,11.95,287,12.52,428,18.67,238,10.38
05027,"Columbia County, Arkansas",7826,5660,278,4.91 ,104,1.84 ,297,5.25 ,318,5.62,230,4.06,603,10.65,671,11.86,928,16.4,665,11.75,871,15.39,695,12.28
05029,"Conway County, Arkansas",8422,5742,118,2.06 ,23,0.40 ,168,2.93 ,356,6.2,209,3.64,640,11.15,615,10.71,1122,19.54,990,17.24,882,15.36,619,10.78
05031,"Craighead County, Arkansas",42351,25279,500,1.98 ,192,0.76 ,544,2.15 ,639,2.53,940,3.72,1885,7.46,3032,11.99,4415,17.47,3416,13.51,5497,21.75,4219,16.69
05033,"Crawford County, Arkansas",22731,17171,445,2.59 ,132,0.77 ,586,3.41 ,430,2.5,753,4.39,1334,7.77,2483,14.46,3533,20.58,2617,15.24,3077,17.92,1781,10.37
05035,"Crittenden County, Arkansas",18587,10443,158,1.51 ,71,0.68 ,426,4.08 ,294,2.82,530,5.08,759,7.27,1256,12.03,1938,18.56,1567,15.01,2139,20.48,1305,12.5
05037,"Cross County, Arkansas",6564,4348,58,1.33 ,68,1.56 ,274,6.30 ,246,5.66,118,2.71,414,9.52,603,13.87,697,16.03,580,13.34,780,17.94,510,11.73
05039,"Dallas County, Arkansas",2289,1638,58,3.54 ,18,1.10 ,73,4.46 ,160,9.77,38,2.32,262,16,150,9.16,236,14.41,257,15.69,305,18.62,81,4.95
