FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
01043,Alabama,Cullman,ARC,"Cullman County, Alabama",70954,41231,41229,39440,1789,2,29723,4.34%,41.89%,33649,1680,4.99%,1642,4.88%,3399,10.10%,3281,9.75%,4596,13.66%,6244,18.56%,4624,13.74%,4635,13.77%,2021,6.01%,1527,4.54%,58119,13116,38.98%,1849,5.49%,373,1.11%,3362,9.99%,9.8
01049,Alabama,DeKalb,ARC,"DeKalb County, Alabama",56883,32124,32085,30827,1258,39,24759,3.92%,43.53%,25690,1518,5.91%,1868,7.27%,3114,12.12%,3091,12.03%,3660,14.25%,4649,18.10%,3143,12.23%,3040,11.83%,909,3.54%,698,2.72%,47920,9696,37.74%,1559,6.07%,272,1.06%,4243,16.52%,17.7
01051,Alabama,Elmore,ARC,"Elmore County, Alabama",70825,41512,40950,39250,1700,562,29313,4.15%,41.39%,32184,1110,3.45%,779,2.42%,2393,7.44%,2688,8.35%,3836,11.92%,5681,17.65%,5422,16.85%,5856,18.20%,2480,7.71%,1939,6.02%,73258,11667,36.25%,1499,4.66%,610,1.90%,3403,10.57%,8.3
01055,Alabama,Etowah,ARC,"Etowah County, Alabama",83569,47374,47355,44508,2847,19,36195,6.01%,43.31%,38791,2275,5.86%,2338,6.03%,4543,11.71%,3976,10.25%,5572,14.36%,7349,18.95%,4403,11.35%,5082,13.10%,2048,5.28%,1205,3.11%,52177,15154,39.07%,2864,7.38%,804,2.07%,5520,14.23%,12.2
01057,Alabama,Fayette,ARC,"Fayette County, Alabama",13382,6972,6968,6296,672,4,6410,9.64%,47.90%,6143,416,6.77%,594,9.67%,729,11.87%,829,13.50%,649,10.56%,894,14.55%,762,12.40%,864,14.06%,174,2.83%,232,3.78%,45650,2642,43.01%,494,8.04%,134,2.18%,1204,19.60%,19.5
01059,Alabama,Franklin,ARC,"Franklin County, Alabama",24985,14005,14005,13469,536,0,10980,3.83%,43.95%,11239,649,5.77%,836,7.44%,1403,12.48%,1372,12.21%,1528,13.60%,1881,16.74%,1540,13.70%,1186,10.55%,621,5.53%,223,1.98%,47359,4427,39.39%,747,6.65%,149,1.33%,2206,19.63%,15
01065,Alabama,Hale,ARC,"Hale County, Alabama",11591,5902,5883,5433,450,19,5689,7.65%,49.08%,5403,505,9.35%,674,12.47%,956,17.69%,542,10.03%,507,9.38%,704,13.03%,645,11.94%,546,10.11%,153,2.83%,171,3.16%,35851,2439,45.14%,674,12.47%,196,3.63%,1355,25.08%,19.5
01071,Alabama,Jackson,ARC,"Jackson County, Alabama",43027,21720,21717,20405,1312,3,21307,6.04%,49.52%,20670,1155,5.59%,1445,6.99%,2639,12.77%,2586,12.51%,3170,15.34%,3182,15.39%,2425,11.73%,2499,12.09%,855,4.14%,714,3.45%,46748,8752,42.34%,1265,6.12%,189,0.91%,2901,14.03%,16.2
01073,Alabama,Jefferson,ARC,"Jefferson County, Alabama",537683,329543,328926,311193,17733,617,208140,5.39%,38.71%,265794,17422,6.55%,13325,5.01%,22919,8.62%,22215,8.36%,31657,11.91%,44513,16.75%,32041,12.05%,37462,14.09%,19494,7.33%,24746,9.31%,63595,85150,32.04%,19215,7.23%,4004,1.51%,35857,13.49%,12.7
01075,Alabama,Lamar,ARC,"Lamar County, Alabama",11102,5674,5665,5381,284,9,5428,5.01%,48.89%,5168,288,5.57%,389,7.53%,684,13.24%,496,9.60%,754,14.59%,1021,19.76%,427,8.26%,825,15.96%,189,3.66%,95,1.84%,49565,2453,47.47%,543,10.51%,72,1.39%,926,17.92%,11.6
01077,Alabama,Lauderdale,ARC,"Lauderdale County, Alabama",77733,45176,45106,43474,1632,70,32557,3.62%,41.88%,38237,2333,6.10%,1964,5.14%,4163,10.89%,3296,8.62%,5420,14.17%,6553,17.14%,5434,14.21%,4628,12.10%,2920,7.64%,1526,3.99%,56081,14309,37.42%,1738,4.55%,471,1.23%,4166,10.90%,9.3
01079,Alabama,Lawrence,ARC,"Lawrence County, Alabama",26784,14271,14259,13836,423,12,12513,2.97%,46.72%,12829,749,5.84%,684,5.33%,1266,9.87%,1280,9.98%,1758,13.70%,2561,19.96%,1750,13.64%,1553,12.11%,504,3.93%,724,5.64%,54786,5456,42.53%,964,7.51%,135,1.05%,2108,16.43%,13.1
01083,Alabama,Limestone,ARC,"Limestone County, Alabama",84173,50219,50168,48090,2078,51,33954,4.14%,40.34%,38572,1292,3.35%,1487,3.86%,2821,7.31%,2473,6.41%,3550,9.20%,6594,17.10%,5641,14.62%,6915,17.93%,4180,10.84%,3619,9.38%,80146,11997,31.10%,1890,4.90%,393,1.02%,3066,7.95%,8.6
01087,Alabama,Macon,ARC,"Macon County, Alabama",16423,8171,8082,7072,1010,89,8252,12.50%,50.25%,7131,868,12.17%,487,6.83%,957,13.42%,808,11.33%,1000,14.02%,1129,15.83%,790,11.08%,682,9.56%,228,3.20%,182,2.55%,41206,2948,41.34%,755,10.59%,87,1.22%,1665,23.35%,20.8
01089,Alabama,Madison,ARC,"Madison County, Alabama",315604,202425,201437,192922,8515,988,113179,4.23%,35.86%,159569,7604,4.77%,5058,3.17%,11076,6.94%,12042,7.55%,16414,10.29%,24892,15.60%,19924,12.49%,27166,17.02%,16150,10.12%,19243,12.06%,78058,44367,27.80%,6112,3.83%,4489,2.81%,13866,8.69%,8.2
01093,Alabama,Marion,ARC,"Marion County, Alabama",23947,12382,12363,11563,800,19,11565,6.47%,48.29%,11018,535,4.86%,1033,9.38%,1678,15.23%,901,8.18%,1385,12.57%,1911,17.34%,1712,15.54%,1303,11.83%,266,2.41%,294,2.67%,49743,4803,43.59%,1096,9.95%,218,1.98%,1679,15.24%,11.5
01095,Alabama,Marshall,ARC,"Marshall County, Alabama",75849,43136,43030,41389,1641,106,32713,3.81%,43.13%,35930,2077,5.78%,1892,5.27%,3691,10.27%,3364,9.36%,4493,12.50%,6519,18.14%,4834,13.45%,4901,13.64%,2148,5.98%,2011,5.60%,58272,13707,38.15%,1989,5.54%,427,1.19%,4002,11.14%,14.6
01103,Alabama,Morgan,ARC,"Morgan County, Alabama",98341,57531,57499,55092,2407,32,40810,4.19%,41.50%,48004,2252,4.69%,2150,4.48%,4557,9.49%,5193,10.82%,5519,11.50%,8318,17.33%,5812,12.11%,7599,15.83%,3736,7.78%,2868,5.97%,61588,17517,36.49%,3012,6.27%,589,1.23%,5921,12.33%,11.1
01107,Alabama,Pickens,ARC,"Pickens County, Alabama",15746,7363,7333,6945,388,30,8383,5.29%,53.24%,7083,398,5.62%,681,9.61%,922,13.02%,891,12.58%,1023,14.44%,999,14.10%,775,10.94%,805,11.37%,397,5.60%,192,2.71%,45339,3094,43.68%,584,8.25%,70,0.99%,1154,16.29%,18.7
01111,Alabama,Randolph,ARC,"Randolph County, Alabama",17952,8905,8902,8613,289,3,9047,3.25%,50.40%,8729,741,8.49%,689,7.89%,975,11.17%,884,10.13%,1082,12.40%,1442,16.52%,988,11.32%,1266,14.50%,341,3.91%,321,3.68%,49879,3483,39.90%,782,8.96%,402,4.61%,1389,15.91%,16.9
01115,Alabama,St. Clair,ARC,"St. Clair County, Alabama",73891,43840,43687,41814,1873,153,30051,4.29%,40.67%,33838,1234,3.65%,999,2.95%,2710,8.01%,2371,7.01%,3925,11.60%,5968,17.64%,5358,15.83%,7394,21.85%,2044,6.04%,1835,5.42%,73218,12201,36.06%,1714,5.07%,504,1.49%,3281,9.70%,9.1
01117,Alabama,Shelby,ARC,"Shelby County, Alabama",179299,117512,117204,113542,3662,308,61787,3.12%,34.46%,83776,3251,3.88%,1955,2.33%,3883,4.63%,5079,6.06%,7205,8.60%,13661,16.31%,10394,12.41%,17361,20.72%,9860,11.77%,11127,13.28%,90618,25108,29.97%,2546,3.04%,631,0.75%,3929,4.69%,4.7
01121,Alabama,Talladega,ARC,"Talladega County, Alabama",66263,35164,35027,32093,2934,137,31099,8.38%,46.93%,32359,2367,7.31%,2651,8.19%,3730,11.53%,3078,9.51%,3809,11.77%,5534,17.10%,4003,12.37%,4166,12.87%,1919,5.93%,1102,3.41%,52457,12395,38.30%,2522,7.79%,296,0.91%,5020,15.51%,16.3
01123,Alabama,Tallapoosa,ARC,"Tallapoosa County, Alabama",33913,17444,17414,15600,1814,30,16469,10.42%,48.56%,16438,1229,7.48%,1127,6.86%,2017,12.27%,1508,9.17%,2021,12.29%,3202,19.48%,1979,12.04%,1858,11.30%,880,5.35%,617,3.75%,53282,7533,45.83%,1206,7.34%,258,1.57%,2961,18.01%,14.5
01125,Alabama,Tuscaloosa,ARC,"Tuscaloosa County, Alabama",189439,116638,116428,109994,6434,210,72801,5.53%,38.43%,84743,7123,8.41%,3656,4.31%,7471,8.82%,7386,8.72%,9891,11.67%,13994,16.51%,10492,12.38%,13754,16.23%,5921,6.99%,5055,5.97%,61645,25257,29.80%,4007,4.73%,3427,4.04%,9254,10.92%,11.9
01127,Alabama,Walker,ARC,"Walker County, Alabama",52243,27363,27314,25764,1550,49,24880,5.67%,47.62%,24718,1640,6.63%,1788,7.23%,3056,12.36%,2425,9.81%,3137,12.69%,3954,16.00%,3156,12.77%,3714,15.03%,1150,4.65%,698,2.82%,52987,10814,43.75%,1951,7.89%,421,1.70%,3584,14.50%,12.4
01133,Alabama,Winston,ARC,"Winston County, Alabama",19441,10242,10225,9773,452,17,9199,4.42%,47.32%,9103,458,5.03%,788,8.66%,854,9.38%,1209,13.28%,1288,14.15%,1852,20.34%,925,10.16%,1090,11.97%,303,3.33%,336,3.69%,49494,3742,41.11%,674,7.40%,200,2.20%,1214,13.34%,13.8
13011,Georgia,Banks,ARC,"Banks County, Georgia",14950,8645,8634,8420,214,11,6305,2.48%,42.17%,6667,297,4.45%,414,6.21%,628,9.42%,503,7.54%,715,10.72%,960,14.40%,1225,18.37%,1259,18.88%,385,5.77%,281,4.21%,69096,2407,36.10%,307,4.60%,96,1.44%,658,9.87%,10.8
13013,Georgia,Barrow,ARC,"Barrow County, Georgia",65498,43753,43717,41974,1743,36,21745,3.99%,33.20%,28781,1249,4.34%,603,2.10%,1665,5.79%,2012,6.99%,3523,12.24%,5332,18.53%,4789,16.64%,5645,19.61%,2410,8.37%,1553,5.40%,75053,8731,30.34%,1123,3.90%,467,1.62%,2916,10.13%,7.8
13015,Georgia,Bartow,ARC,"Bartow County, Georgia",86585,55266,55141,52132,3009,125,31319,5.46%,36.17%,38429,2038,5.30%,1031,2.68%,2421,6.30%,2862,7.45%,4366,11.36%,6577,17.11%,5779,15.04%,7991,20.79%,2697,7.02%,2667,6.94%,74812,11176,29.08%,2296,5.97%,688,1.79%,3264,8.49%,8.9
13045,Georgia,Carroll,ARC,"Carroll County, Georgia",94925,59698,59630,56102,3528,68,35227,5.92%,37.11%,42996,2151,5.00%,1484,3.45%,4338,10.09%,4138,9.62%,4800,11.16%,6799,15.81%,6427,14.95%,7669,17.84%,2780,6.47%,2410,5.61%,66895,14481,33.68%,2357,5.48%,882,2.05%,6400,14.89%,14.1
13047,Georgia,Catoosa,ARC,"Catoosa County, Georgia",54727,34003,33947,32689,1258,56,20724,3.71%,37.87%,25775,1091,4.23%,829,3.22%,1700,6.60%,2021,7.84%,3779,14.66%,4616,17.91%,3740,14.51%,4649,18.04%,1631,6.33%,1719,6.67%,68896,9299,36.08%,888,3.45%,574,2.23%,2778,10.78%,7.1
13055,Georgia,Chattooga,ARC,"Chattooga County, Georgia",19821,9614,9611,9156,455,3,10207,4.73%,51.50%,9292,613,6.60%,623,6.70%,1351,14.54%,1352,14.55%,1455,15.66%,1865,20.07%,735,7.91%,887,9.55%,296,3.19%,115,1.24%,43556,3996,43.00%,879,9.46%,860,9.26%,1772,19.07%,16.7
13057,Georgia,Cherokee,ARC,"Cherokee County, Georgia",212952,146789,146587,141191,5396,202,66163,3.68%,31.07%,97023,2831,2.92%,1806,1.86%,4273,4.40%,5312,5.47%,7474,7.70%,14049,14.48%,12277,12.65%,21341,22.00%,13443,13.86%,14217,14.65%,100824,27325,28.16%,2579,2.66%,1135,1.17%,3448,3.55%,5.2
13083,Georgia,Dade,ARC,"Dade County, Georgia",13375,7488,7483,7073,410,5,5887,5.48%,44.01%,6074,89,1.47%,175,2.88%,441,7.26%,993,16.35%,1016,16.73%,1004,16.53%,910,14.98%,917,15.10%,153,2.52%,376,6.19%,59531,2527,41.60%,395,6.50%,139,2.29%,481,7.92%,4.3
13085,Georgia,Dawson,ARC,"Dawson County, Georgia",22687,14352,14266,13604,662,86,8335,4.64%,36.74%,10343,464,4.49%,191,1.85%,407,3.94%,602,5.82%,1171,11.32%,1695,16.39%,1441,13.93%,2056,19.88%,1053,10.18%,1263,12.21%,84516,3623,35.03%,337,3.26%,155,1.50%,765,7.40%,8.4
13097,Georgia,Douglas,ARC,"Douglas County, Georgia",112789,75362,75218,70280,4938,144,37427,6.56%,33.18%,50552,2756,5.45%,1463,2.89%,2698,5.34%,3350,6.63%,5455,10.79%,8893,17.59%,8088,16.00%,9128,18.06%,4955,9.80%,3766,7.45%,76930,13218,26.15%,2542,5.03%,1126,2.23%,6317,12.50%,9.3
13105,Georgia,Elbert,ARC,"Elbert County, Georgia",15810,9220,9200,8514,686,20,6590,7.46%,41.68%,7873,578,7.34%,467,5.93%,829,10.53%,830,10.54%,1454,18.47%,1124,14.28%,859,10.91%,1117,14.19%,394,5.00%,221,2.81%,48190,3350,42.55%,784,9.96%,97,1.23%,1198,15.22%,16.3
13111,Georgia,Fannin,ARC,"Fannin County, Georgia",21971,10563,10553,9979,574,10,11408,5.44%,51.92%,11327,700,6.18%,560,4.94%,842,7.43%,1354,11.95%,1480,13.07%,2612,23.06%,1272,11.23%,1172,10.35%,700,6.18%,635,5.61%,54857,5721,50.51%,645,5.69%,173,1.53%,1268,11.19%,8.8
13115,Georgia,Floyd,ARC,"Floyd County, Georgia",78821,45546,45478,43616,1862,68,33275,4.09%,42.22%,35996,1972,5.48%,2022,5.62%,3637,10.10%,3251,9.03%,5042,14.01%,6315,17.54%,3772,10.48%,5797,16.10%,2288,6.36%,1900,5.28%,57868,13000,36.12%,2116,5.88%,721,2.00%,4838,13.44%,14.7
13117,Georgia,Forsyth,ARC,"Forsyth County, Georgia",194590,135408,135252,130217,5035,156,59182,3.72%,30.41%,84662,1537,1.82%,845,1.00%,2562,3.03%,2545,3.01%,5280,6.24%,8278,9.78%,8955,10.58%,18355,21.68%,13700,16.18%,22605,26.70%,131660,19730,23.30%,2021,2.39%,689,0.81%,2194,2.59%,3.4
13119,Georgia,Franklin,ARC,"Franklin County, Georgia",19104,10129,10129,9505,624,0,8975,6.16%,46.98%,8539,720,8.43%,513,6.01%,955,11.18%,710,8.31%,1230,14.40%,1627,19.05%,1075,12.59%,968,11.34%,366,4.29%,375,4.39%,52597,3571,41.82%,443,5.19%,156,1.83%,1114,13.05%,15.2
13123,Georgia,Gilmer,ARC,"Gilmer County, Georgia",26144,13907,13907,13571,336,0,12237,2.42%,46.81%,12868,570,4.43%,512,3.98%,1294,10.06%,1330,10.34%,1178,9.15%,2105,16.36%,2296,17.84%,2158,16.77%,819,6.36%,606,4.71%,70334,6277,48.78%,774,6.01%,224,1.74%,1092,8.49%,10.6
13129,Georgia,Gordon,ARC,"Gordon County, Georgia",45439,27240,27230,26411,819,10,18199,3.01%,40.05%,20555,951,4.63%,1087,5.29%,1964,9.55%,2008,9.77%,2775,13.50%,3691,17.96%,2639,12.84%,2912,14.17%,1297,6.31%,1231,5.99%,57555,6903,33.58%,1328,6.46%,355,1.73%,1948,9.48%,11
13135,Georgia,Gwinnett,ARC,"Gwinnett County, Georgia",736740,504118,503661,483028,20633,457,232622,4.10%,31.57%,317971,11432,3.60%,6969,2.19%,15969,5.02%,22712,7.14%,32573,10.24%,54412,17.11%,43797,13.77%,62339,19.61%,32108,10.10%,35660,11.21%,82296,69194,21.76%,9845,3.10%,5952,1.87%,22583,7.10%,8.9
13137,Georgia,Habersham,ARC,"Habersham County, Georgia",37580,21643,21621,21126,495,22,15937,2.29%,42.41%,15606,825,5.29%,893,5.72%,1280,8.20%,1630,10.44%,1951,12.50%,2846,18.24%,1888,12.10%,2412,15.46%,891,5.71%,990,6.34%,61292,6073,38.91%,760,4.87%,264,1.69%,1978,12.67%,11.1
13139,Georgia,Hall,ARC,"Hall County, Georgia",160778,102694,102542,98562,3980,152,58084,3.88%,36.13%,69387,2673,3.85%,2145,3.09%,4753,6.85%,4547,6.55%,7820,11.27%,13067,18.83%,9618,13.86%,11839,17.06%,5987,8.63%,6938,10.00%,74153,21559,31.07%,3309,4.77%,1266,1.82%,6409,9.24%,12
13143,Georgia,Haralson,ARC,"Haralson County, Georgia",23862,14709,14687,14044,643,22,9153,4.38%,38.36%,11357,839,7.39%,448,3.94%,924,8.14%,610,5.37%,1423,12.53%,2186,19.25%,1698,14.95%,1450,12.77%,1266,11.15%,513,4.52%,65940,4117,36.25%,862,7.59%,277,2.44%,1463,12.88%,10.2
13147,Georgia,Hart,ARC,"Hart County, Georgia",21271,11640,11603,11046,557,37,9631,4.80%,45.28%,10294,593,5.76%,514,4.99%,1015,9.86%,942,9.15%,1293,12.56%,1921,18.66%,1451,14.10%,1587,15.42%,478,4.64%,500,4.86%,61765,4388,42.63%,549,5.33%,91,0.88%,1206,11.72%,7.4
13149,Georgia,Heard,ARC,"Heard County, Georgia",9226,4978,4975,4705,270,3,4248,5.43%,46.04%,4405,250,5.68%,303,6.88%,506,11.49%,310,7.04%,511,11.60%,795,18.05%,660,14.98%,625,14.19%,224,5.09%,221,5.02%,62965,1712,38.86%,529,12.01%,96,2.18%,1105,25.09%,14.6
