FIPS,STATE,COUNTY,Geographic Area Name,Utility Name,Latitude,Longitude,Percentage of Unemployment,Percentage of Not in Labor Force,"Percentage of Less than 10,000 (Income)","Percentage of 10,000 to 14,999 (Income)","Percentage of 15,000 to 24,999 (Income)","Percentage of 25,000 to 34,999 (Income)","Percentage of 35,000 to 49,999 (Income)","Percentage of 50,000 to 74,999 (Income)","Percentage of 75,000 to 99,999 (Income)","Percentage of 100,000 to 149,999 (Income)","Percentage of 150,000 to 199,999 (Income)","Percentage of 200,000 or more (Income)",Percentage of with Social Security (Income),Percentage of With Supplemental Security Income (Income),Percentage of With Cash Public Assistance (Income),Percentage of With Food Stamp SNAP (Income), Percentage of Below Poverty Level All People (Income),"Percentage of Less than 5,000 (Owner-occupied)","Percentage of 5,000 to 9,999 (Owner-occupied)","Percentage of 10,000 to 14,999 (Owner-occupied)","Percentage of 15,000 to 19,999 (Owner-occupied)","Percentage of 20,000 to 24,999 (Owner-occupied)","Percentage of 25,000 to 34,999 (Owner-occupied)","Percentage of 35,000 to 49,999 (Owner-occupied)","Percentage of 50,000 to 74,999 (Owner-occupied)","Percentage of 75,000 to 99,999 (Owner-occupied)","Percentage of 100,000 to 149,999 (Owner-occupied)","Percentage of 150,000 or more (Owner-occupied)","Water, Sewer or Combine",Consumption amount (Gallons),Monthly Bill,Annual  Bill,Year
01043,Alabama,Cullman,"Cullman County, Alabama",,,,4.34,41.89,4.99,4.88,10.1,9.75,13.66,18.56,13.74,13.77,6.01,4.54,38.98,5.49,1.11,9.99,9.8,2.13,1.56,4.08,3.29,4.29,9.14,13.16,17.57,15.21,16.58,13,Combined,4000,80,960,2022
01049,Alabama,DeKalb,"DeKalb County, Alabama",,,,3.92,43.53,5.91,7.27,12.12,12.03,14.25,18.1,12.23,11.83,3.54,2.72,37.74,6.07,1.06,16.52,17.7,2.98,1.04,4.69,5.47,4.13,10.54,14.18,20.33,14.34,14.21,8.09,Combined,4000,80,960,2022
01051,Alabama,Elmore,"Elmore County, Alabama",,,,4.15,41.39,3.45,2.42,7.44,8.35,11.92,17.65,16.85,18.2,7.71,6.02,36.25,4.66,1.9,10.57,8.3,1.72,1.22,2.08,2.7,2.2,5.69,10.44,16.82,19.26,21.11,16.77,Combined,4000,80,960,2022
01055,Alabama,Etowah,"Etowah County, Alabama",,,,6.01,43.31,5.86,6.03,11.71,10.25,14.36,18.95,11.35,13.1,5.28,3.11,39.07,7.38,2.07,14.23,12.2,2.97,1.4,2.99,4.92,5.77,8.63,13.96,19.38,13.42,16.06,10.49,Combined,4000,80,960,2022
01057,Alabama,Fayette,"Fayette County, Alabama",,,,9.64,47.9,6.77,9.67,11.87,13.5,10.56,14.55,12.4,14.06,2.83,3.78,43.01,8.04,2.18,19.6,19.5,3.93,1.82,5.47,7.08,3.93,12.26,9.89,15.58,13.22,18.09,8.71,Combined,4000,80,960,2022
01059,Alabama,Franklin,"Franklin County, Alabama",,,,3.83,43.95,5.77,7.44,12.48,12.21,13.6,16.74,13.7,10.55,5.53,1.98,39.39,6.65,1.33,19.63,15,2.42,2.88,4.54,4.56,7.5,9.5,13.11,15.79,15.65,13.81,10.24,Combined,4000,80,960,2022
01065,Alabama,Hale,"Hale County, Alabama",,,,7.65,49.08,9.35,12.47,17.69,10.03,9.38,13.03,11.94,10.11,2.83,3.16,45.14,12.47,3.63,25.08,19.5,2.27,4.37,11.99,7.36,5.56,10.75,10.22,13.76,14.33,12.56,6.83,Combined,4000,80,960,2022
01071,Alabama,Jackson,"Jackson County, Alabama",,,,6.04,49.52,5.59,6.99,12.77,12.51,15.34,15.39,11.73,12.09,4.14,3.45,42.34,6.12,0.91,14.03,16.2,2.49,1.53,4.11,5.42,6.05,10.52,16.02,16.35,13.35,14.78,9.39,Combined,4000,80,960,2022
01073,Alabama,Jefferson,"Jefferson County, Alabama",,,,5.39,38.71,6.55,5.01,8.62,8.36,11.91,16.75,12.05,14.09,7.33,9.31,32.04,7.23,1.51,13.49,12.7,2.14,1.79,2.76,2.9,3.44,5.97,9.33,16.56,13.68,17.63,23.81,Combined,4000,80,960,2022
01075,Alabama,Lamar,"Lamar County, Alabama",,,,5.01,48.89,5.57,7.53,13.24,9.6,14.59,19.76,8.26,15.96,3.66,1.84,47.47,10.51,1.39,17.92,11.6,0.54,0.78,4.8,5.16,5.18,9.59,14.05,21.1,10.81,20.63,7.36,Combined,4000,80,960,2022
01077,Alabama,Lauderdale,"Lauderdale County, Alabama",,,,3.62,41.88,6.1,5.14,10.89,8.62,14.17,17.14,14.21,12.1,7.64,3.99,37.42,4.55,1.23,10.9,9.3,1.95,1.07,3.13,2.87,2.94,7.58,13.17,18.65,16.9,15.39,16.35,Combined,4000,80,960,2022
01079,Alabama,Lawrence,"Lawrence County, Alabama",,,,2.97,46.72,5.84,5.33,9.87,9.98,13.7,19.96,13.64,12.11,3.93,5.64,42.53,7.51,1.05,16.43,13.1,2.54,1.35,3.92,4.12,5.43,8.96,14,19.64,15.03,13.64,11.36,Combined,4000,80,960,2022
01083,Alabama,Limestone,"Limestone County, Alabama",,,,4.14,40.34,3.35,3.86,7.31,6.41,9.2,17.1,14.62,17.93,10.84,9.38,31.1,4.9,1.02,7.95,8.6,1.44,1.38,1.89,2.48,3.17,5.47,7.84,16.38,15.06,20.24,24.65,Combined,4000,80,960,2022
01087,Alabama,Macon,"Macon County, Alabama",,,,12.5,50.25,12.17,6.83,13.42,11.33,14.02,15.83,11.08,9.56,3.2,2.55,41.34,10.59,1.22,23.35,20.8,4.08,3.12,3.85,6.93,5.35,10.72,15.91,15.71,12.81,12.81,8.73,Combined,4000,80,960,2022
01089,Alabama,Madison,"Madison County, Alabama",,,,4.23,35.86,4.77,3.17,6.94,7.55,10.29,15.6,12.49,17.02,10.12,12.06,27.8,3.83,2.81,8.69,8.2,1.83,0.91,1.61,2.09,2.38,5.17,8.27,14.77,13,20.32,29.64,Combined,4000,80,960,2022
01093,Alabama,Marion,"Marion County, Alabama",,,,6.47,48.29,4.86,9.38,15.23,8.18,12.57,17.34,15.54,11.83,2.41,2.67,43.59,9.95,1.98,15.24,11.5,1.64,1.27,5.73,5.58,7.53,8.11,11.65,18.2,19.85,13.68,6.75,Combined,4000,80,960,2022
01095,Alabama,Marshall,"Marshall County, Alabama",,,,3.81,43.13,5.78,5.27,10.27,9.36,12.5,18.14,13.45,13.64,5.98,5.6,38.15,5.54,1.19,11.14,14.6,2.46,1,3.76,3.36,4.45,8.3,11.88,19.3,15.32,15.68,14.5,Combined,4000,80,960,2022
01103,Alabama,Morgan,"Morgan County, Alabama",,,,4.19,41.5,4.69,4.48,9.49,10.82,11.5,17.33,12.11,15.83,7.78,5.97,36.49,6.27,1.23,12.33,11.1,2.12,1.31,2.63,2.81,3.58,7.94,10.4,17.52,13.86,19.74,18.08,Combined,4000,80,960,2022
01107,Alabama,Pickens,"Pickens County, Alabama",,,,5.29,53.24,5.62,9.61,13.02,12.58,14.44,14.1,10.94,11.37,5.6,2.71,43.68,8.25,0.99,16.29,18.7,0.49,2.51,5.6,4.84,3.75,13.67,16.66,15.99,12.45,14.33,9.71,Combined,4000,80,960,2022
01111,Alabama,Randolph,"Randolph County, Alabama",,,,3.25,50.4,8.49,7.89,11.17,10.13,12.4,16.52,11.32,14.5,3.91,3.68,39.9,8.96,4.61,15.91,16.9,3.66,2.2,4.29,4.34,7.39,9.57,12.19,17.32,12.52,17.41,9.12,Combined,4000,80,960,2022
01115,Alabama,St. Clair,"St. Clair County, Alabama",,,,4.29,40.67,3.65,2.95,8.01,7.01,11.6,17.64,15.83,21.85,6.04,5.42,36.06,5.07,1.49,9.7,9.1,2.3,0.61,2.36,2.65,4.28,5.93,11.55,17.46,16.32,24.13,12.4,Combined,4000,80,960,2022
01117,Alabama,Shelby,"Shelby County, Alabama",,,,3.12,34.46,3.88,2.33,4.63,6.06,8.6,16.31,12.41,20.72,11.77,13.28,29.97,3.04,0.75,4.69,4.7,2,0.94,1.74,1.8,1.84,4.9,6.79,15.69,12.13,22.7,29.47,Combined,4000,80,960,2022
01121,Alabama,Talladega,"Talladega County, Alabama",,,,8.38,46.93,7.31,8.19,11.53,9.51,11.77,17.1,12.37,12.87,5.93,3.41,38.3,7.79,0.91,15.51,16.3,3.17,1.64,5.44,3.86,4.18,8.97,11.64,19.98,13.74,14.95,12.44,Combined,4000,80,960,2022
01123,Alabama,Tallapoosa,"Tallapoosa County, Alabama",,,,10.42,48.56,7.48,6.86,12.27,9.17,12.29,19.48,12.04,11.3,5.35,3.75,45.83,7.34,1.57,18.01,14.5,3.08,2.25,4.58,5.17,5.13,8.12,11.48,21.86,13.84,12.79,11.73,Combined,4000,80,960,2022
01125,Alabama,Tuscaloosa,"Tuscaloosa County, Alabama",,,,5.53,38.43,8.41,4.31,8.82,8.72,11.67,16.51,12.38,16.23,6.99,5.97,29.8,4.73,4.04,10.92,11.9,2.25,1.35,1.94,2.95,2.84,5.6,10.05,16.14,15.56,22.35,18.98,Combined,4000,80,960,2022
01127,Alabama,Walker,"Walker County, Alabama",,,,5.67,47.62,6.63,7.23,12.36,9.81,12.69,16,12.77,15.03,4.65,2.82,43.75,7.89,1.7,14.5,12.4,2.92,1.3,5.51,4.28,5.83,9.27,13.01,17.17,13.53,17.87,9.3,Combined,4000,80,960,2022
01133,Alabama,Winston,"Winston County, Alabama",,,,4.42,47.32,5.03,8.66,9.38,13.28,14.15,20.34,10.16,11.97,3.33,3.69,41.11,7.4,2.2,13.34,13.8,2.37,1.53,5.84,3.51,4.23,10.99,14.83,23.21,11.35,13.58,8.57,Combined,4000,80,960,2022
13011,Georgia,Banks,"Banks County, Georgia",,,,2.48,42.17,4.45,6.21,9.42,7.54,10.72,14.4,18.37,18.88,5.77,4.21,36.1,4.6,1.44,9.87,10.8,2.67,0.62,2.63,6.02,3.41,5.12,11.74,13.76,19.42,21.73,12.88,Combined,4000,80,960,2022
13013,Georgia,Barrow,"Barrow County, Georgia",,,,3.99,33.2,4.34,2.1,5.79,6.99,12.24,18.53,16.64,19.61,8.37,5.4,30.34,3.9,1.62,10.13,7.8,2.09,0.91,0.99,1.64,2.23,6.07,11.58,18.33,17.03,22.96,16.17,Combined,4000,80,960,2022
13015,Georgia,Bartow,"Bartow County, Georgia",,,,5.46,36.17,5.3,2.68,6.3,7.45,11.36,17.11,15.04,20.79,7.02,6.94,29.08,5.97,1.79,8.49,8.9,3.82,0.65,1.63,2.46,2.61,5.94,8.69,15.68,16.46,24.58,17.48,Combined,4000,80,960,2022
13045,Georgia,Carroll,"Carroll County, Georgia",,,,5.92,37.11,5,3.45,10.09,9.62,11.16,15.81,14.95,17.84,6.47,5.61,33.68,5.48,2.05,14.89,14.1,1.96,0.89,1.96,3.24,2.79,8.16,9.55,16.24,18.67,20.67,15.88,Combined,4000,80,960,2022
13047,Georgia,Catoosa,"Catoosa County, Georgia",,,,3.71,37.87,4.23,3.22,6.6,7.84,14.66,17.91,14.51,18.04,6.33,6.67,36.08,3.45,2.23,10.78,7.1,2.22,1.17,2.44,2.16,2.33,5.49,12.97,16.9,16.53,21.16,16.61,Combined,4000,80,960,2022
13055,Georgia,Chattooga,"Chattooga County, Georgia",,,,4.73,51.5,6.6,6.7,14.54,14.55,15.66,20.07,7.91,9.55,3.19,1.24,43,9.46,9.26,19.07,16.7,2.39,2.35,4.6,5.71,4.01,14.92,16.07,21.57,10.64,11.53,6.2,Combined,4000,80,960,2022
13057,Georgia,Cherokee,"Cherokee County, Georgia",,,,3.68,31.07,2.92,1.86,4.4,5.47,7.7,14.48,12.65,22,13.86,14.65,28.16,2.66,1.17,3.55,5.2,1.29,0.94,1.26,1.46,1.16,3.81,6.36,12.62,12.87,23.83,34.4,Combined,4000,80,960,2022
13083,Georgia,Dade,"Dade County, Georgia",,,,5.48,44.01,1.47,2.88,7.26,16.35,16.73,16.53,14.98,15.1,2.52,6.19,41.6,6.5,2.29,7.92,4.3,0.45,1.27,3.23,3.82,3.13,14.62,13.52,18.67,11.81,18.67,10.82,Combined,4000,80,960,2022
13085,Georgia,Dawson,"Dawson County, Georgia",,,,4.64,36.74,4.49,1.85,3.94,5.82,11.32,16.39,13.93,19.88,10.18,12.21,35.03,3.26,1.5,7.4,8.4,1.94,1.33,1.4,1.83,1.22,5.27,9.57,15.03,12.86,23.85,25.7,Combined,4000,80,960,2022
13097,Georgia,Douglas,"Douglas County, Georgia",,,,6.56,33.18,5.45,2.89,5.34,6.63,10.79,17.59,16,18.06,9.8,7.45,26.15,5.03,2.23,12.5,9.3,2.74,0.76,1.83,1.31,1.5,5.41,9.07,15.88,16.75,20.28,24.46,Combined,4000,80,960,2022
13105,Georgia,Elbert,"Elbert County, Georgia",,,,7.46,41.68,7.34,5.93,10.53,10.54,18.47,14.28,10.91,14.19,5,2.81,42.55,9.96,1.23,15.22,16.3,3.76,1.86,2.56,6.34,4.71,10.47,17.84,17.39,9.5,16.67,8.89,Combined,4000,80,960,2022
13111,Georgia,Fannin,"Fannin County, Georgia",,,,5.44,51.92,6.18,4.94,7.43,11.95,13.07,23.06,11.23,10.35,6.18,5.61,50.51,5.69,1.53,11.19,8.8,4.87,1.04,3.61,3.63,3.69,9.12,12.67,22.95,11.9,11.77,14.75,Combined,4000,80,960,2022
13115,Georgia,Floyd,"Floyd County, Georgia",,,,4.09,42.22,5.48,5.62,10.1,9.03,14.01,17.54,10.48,16.1,6.36,5.28,36.12,5.88,2,13.44,14.7,1.76,0.96,2.27,3.78,3.31,6.57,12.15,18.13,12.31,21.59,17.18,Combined,4000,80,960,2022
13117,Georgia,Forsyth,"Forsyth County, Georgia",,,,3.72,30.41,1.82,1,3.03,3.01,6.24,9.78,10.58,21.68,16.18,26.7,23.3,2.39,0.81,2.59,3.4,0.93,0.7,0.66,0.65,1.41,2.56,4.9,8.37,9.94,21.7,48.17,Combined,4000,80,960,2022
13119,Georgia,Franklin,"Franklin County, Georgia",,,,6.16,46.98,8.43,6.01,11.18,8.31,14.4,19.05,12.59,11.34,4.29,4.39,41.82,5.19,1.83,13.05,15.2,3.72,1.92,4.5,4.8,5.86,8.44,13.69,19.83,11.74,14.53,10.98,Combined,4000,80,960,2022
13123,Georgia,Gilmer,"Gilmer County, Georgia",,,,2.42,46.81,4.43,3.98,10.06,10.34,9.15,16.36,17.84,16.77,6.36,4.71,48.78,6.01,1.74,8.49,10.6,3.04,0.87,2.76,3.86,3.72,7.68,8.49,17.47,19.56,18.5,14.06,Combined,4000,80,960,2022
13129,Georgia,Gordon,"Gordon County, Georgia",,,,3.01,40.05,4.63,5.29,9.55,9.77,13.5,17.96,12.84,14.17,6.31,5.99,33.58,6.46,1.73,9.48,11,1.97,1.79,4.48,4.01,3.01,7.24,12.06,17.6,14.81,16.69,16.32,Combined,4000,80,960,2022
13135,Georgia,Gwinnett,"Gwinnett County, Georgia",,,,4.1,31.57,3.6,2.19,5.02,7.14,10.24,17.11,13.77,19.61,10.1,11.21,21.76,3.1,1.87,7.1,8.9,1.66,0.85,1.6,1.91,1.65,4.54,8.01,14.59,13.51,22.72,28.95,Combined,4000,80,960,2022
13137,Georgia,Habersham,"Habersham County, Georgia",,,,2.29,42.41,5.29,5.72,8.2,10.44,12.5,18.24,12.1,15.46,5.71,6.34,38.91,4.87,1.69,12.67,11.1,2.15,2.14,4.76,3.85,2.5,8.81,11.71,18.84,12.88,17.53,14.84,Combined,4000,80,960,2022
13139,Georgia,Hall,"Hall County, Georgia",,,,3.88,36.13,3.85,3.09,6.85,6.55,11.27,18.83,13.86,17.06,8.63,10,31.07,4.77,1.82,9.24,12,1.43,1.11,1.75,2.03,3.11,5.14,9.05,18.04,14.42,19.95,23.96,Combined,4000,80,960,2022
13143,Georgia,Haralson,"Haralson County, Georgia",,,,4.38,38.36,7.39,3.94,8.14,5.37,12.53,19.25,14.95,12.77,11.15,4.52,36.25,7.59,2.44,12.88,10.2,4.3,2.2,3.2,3.97,3.37,5.55,9.81,17.19,14.2,16.47,19.75,Combined,4000,80,960,2022
13147,Georgia,Hart,"Hart County, Georgia",,,,4.8,45.28,5.76,4.99,9.86,9.15,12.56,18.66,14.1,15.42,4.64,4.86,42.63,5.33,0.88,11.72,7.4,2.16,2.17,3.45,3.05,4.07,9.1,9.82,20.79,16.6,16.88,11.93,Combined,4000,80,960,2022
13149,Georgia,Heard,"Heard County, Georgia",,,,5.43,46.04,5.68,6.88,11.49,7.04,11.6,18.05,14.98,14.19,5.09,5.02,38.86,12.01,2.18,25.09,14.6,0.51,2.16,4.49,2.99,6.9,6.97,12.76,18.96,14.38,16.74,13.14,Combined,4000,80,960,2022
13157,Georgia,Jackson,"Jackson County, Georgia",,,,3.63,35.93,3.24,2.41,4.87,7.52,10.68,16.84,14.69,20.95,8.94,9.86,31.08,4.69,2.3,8.26,5.8,1.45,0.96,1.31,1.89,1.91,6.41,8.8,16.46,14.55,23.6,22.66,Combined,4000,80,960,2022
13187,Georgia,Lumpkin,"Lumpkin County, Georgia",,,,5.06,42.83,4.83,5.64,10.25,9.77,11.02,13.3,14.88,14.91,9.05,6.34,36.54,3.31,1.29,8.22,7.6,1.68,0.92,3.81,2.73,5.11,9.02,9.87,14.23,16.42,17.17,19.03,Combined,4000,80,960,2022
13195,Georgia,Madison,"Madison County, Georgia",,,,5.85,41.36,5.33,6.26,8.83,14.01,13.5,13.54,12.66,16.41,5.06,4.39,35.97,7.29,1.64,13.79,18.4,2.86,3.02,3.22,1.9,4.67,10.41,13.56,14.64,14.08,20.58,11.06,Combined,4000,80,960,2022
13213,Georgia,Murray,"Murray County, Georgia",,,,6.67,39.27,3.95,6.14,8.49,10.84,13.37,18.55,16.37,13.37,4.22,4.7,32.65,8.07,2.02,13.25,10.9,1.68,1.11,4.41,4.23,3.56,8.94,12.03,19.88,17.21,15.63,11.3,Combined,4000,80,960,2022
13223,Georgia,Paulding,"Paulding County, Georgia",,,,4.09,33.32,2.98,0.91,4.33,4.3,9.6,17.43,17.25,24.1,11.67,7.43,25.8,4.84,2.88,8.99,5.2,1.33,0.6,0.63,2.11,1.84,3.35,8.98,16.33,16.61,26.52,21.7,Combined,4000,80,960,2022
13227,Georgia,Pickens,"Pickens County, Georgia",,,,4.52,42.16,3.8,3.06,9.11,8.67,11.2,16.08,14.37,20.99,6.35,6.36,42.91,3.79,1.53,9.31,12.1,2.27,1.3,2.23,2.31,4.83,7.46,9.13,16.43,14.05,24.23,15.74,Combined,4000,80,960,2022
13233,Georgia,Polk,"Polk County, Georgia",,,,4.81,42.24,6.3,5.91,11.57,10.59,13.94,15.04,14.35,13.37,5.34,3.58,34.24,7.27,4.12,16.38,14.5,1.3,1.18,2.19,3.18,6.21,9.05,13.41,14.88,17.02,18.32,13.26,Combined,4000,80,960,2022
13241,Georgia,Rabun,"Rabun County, Georgia",,,,2.64,51.79,4.03,8.53,8.49,11.91,11.55,16.37,14.17,12.96,5.03,6.95,47.09,4.9,2.14,11.75,10.7,1.78,1.37,5.03,2.86,5.03,9.77,11.66,16.38,16.1,15.73,14.28,Combined,4000,80,960,2022
13257,Georgia,Stephens,"Stephens County, Georgia",,,,5.85,44.67,5.88,3.55,13.96,11.02,13.43,20.73,11.4,12.99,4.92,2.11,44.07,7.26,1.88,15.23,7.9,2.88,2.83,2.8,6.3,6.21,7.22,11.97,22.74,12.81,15.07,9.17,Combined,4000,80,960,2022
13281,Georgia,Towns,"Towns County, Georgia",,,,5.49,56.17,5.07,6.68,12.19,9.7,11.53,19.86,12.87,12.1,5.22,4.8,56.09,4.12,1.15,9.06,12.6,2.06,2.29,5.3,6.48,3.91,8.47,10.51,19.77,14.24,14.49,12.48,Combined,4000,80,960,2022
13291,Georgia,Union,"Union County, Georgia",,,,2.73,53.73,3.99,3.01,12.32,9.62,12.08,18.37,12.54,14.12,6.65,7.31,54.07,4.91,0.71,8.56,8.5,1.83,0.9,2.36,6.3,4.23,9.11,11.05,18.91,12.64,15.74,16.92,Combined,4000,80,960,2022
13295,Georgia,Walker,"Walker County, Georgia",,,,5.49,41.16,4.7,6.2,10.69,9.97,15.84,19.56,13.6,11.6,3.71,4.12,39.85,5.76,1.47,11.42,10.9,2.78,0.78,4.05,4.43,4.92,7.71,14.36,21.39,14.79,14.4,10.38,Combined,4000,80,960,2022
13311,Georgia,White,"White County, Georgia",,,,3.48,44.35,5.43,2.36,7.01,8.9,15.99,15.53,18.42,15.67,5.68,5.01,41.06,4.31,1.42,9.12,10.3,2.93,0.9,1.71,1.87,2.11,7.17,16.65,15.94,18.85,19.79,12.09,Combined,4000,80,960,2022
13313,Georgia,Whitfield,"Whitfield County, Georgia",,,,5.7,36.97,3.62,3.63,9.83,10.74,13.33,19.16,15.24,14.56,5.06,4.82,30.98,6.02,1.71,8.84,11.1,2.51,0.91,1.86,3.1,3.18,9.05,10.83,19.01,17.21,18.68,13.65,Combined,4000,80,960,2022
21001,Kentucky,Adair,"Adair County, Kentucky",,,,6.65,46.09,5.45,9.79,11.54,8.44,15.17,19.87,11.82,13.38,2.65,1.9,44.54,9.86,1.81,14.73,16.6,2.94,2.15,6.04,5.09,5.46,8.42,15.28,19.92,13.42,15.71,5.57,Combined,4000,80,960,2022
21011,Kentucky,Bath,"Bath County, Kentucky",,,,2.88,49.03,5.18,9.62,11.71,8.44,14.64,18.46,13.73,11.33,4.54,2.35,36.95,10.43,1.42,20.15,19.6,2.14,1.91,3.17,4.43,7.48,8.94,15,17.51,16.37,14.65,8.4,Combined,4000,80,960,2022
21013,Kentucky,Bell,"Bell County, Kentucky",,,,9.95,59.08,11.54,9.89,16.61,13.2,13.62,16.57,8.89,7.1,1.59,0.99,49.13,13.6,8.57,24.79,21.9,3.57,2.87,4.48,9.97,4.79,14.52,14.4,20.26,11.18,10.12,3.84,Combined,4000,80,960,2022
21019,Kentucky,Boyd,"Boyd County, Kentucky",,,,6.88,47.5,5.37,7.51,10.26,9.46,10.62,18.49,12.99,15.39,4.94,4.95,41.93,9.38,2.47,16.33,13.5,2.38,1.17,4.2,4.05,2.68,8.57,9.44,18.63,15.71,19.71,13.47,Combined,4000,80,960,2022
21025,Kentucky,Breathitt,"Breathitt County, Kentucky",,,,8.89,54.93,8.93,13.13,14.25,10.63,11.85,18.19,10.29,9.95,1.59,1.18,45.29,20.15,3.56,30.1,24.2,4.47,2.28,9.2,4.66,8.39,11.54,12.06,18.43,13.15,12.33,3.5,Combined,4000,80,960,2022
21043,Kentucky,Carter,"Carter County, Kentucky",,,,5.96,54.59,11.05,6.86,11.98,10.08,12.85,16.94,9.81,13.81,3.72,2.91,43.54,8.64,1.92,20.8,19.3,4.2,3.26,6.09,5.23,6.5,8.97,11.03,18.21,11.56,16.76,8.2,Combined,4000,80,960,2022
21045,Kentucky,Casey,"Casey County, Kentucky",,,,10.38,51.94,8.72,9.31,12.59,10.88,18.88,14.03,10.55,10.18,1.99,2.87,43.14,10.93,0.96,18.96,22.7,5.69,2.45,5.41,4.29,5.23,10.16,20.69,14.51,12.68,13,5.89,Combined,4000,80,960,2022
21049,Kentucky,Clark,"Clark County, Kentucky",,,,5.19,40.08,4.82,5.57,8.68,8.25,13.71,18.69,11.6,17.69,6.14,4.85,38.07,6.66,1.96,12.93,11.6,1.31,1.32,2.74,3.66,2.62,7.77,12.81,19.22,12.42,21.69,14.43,Combined,4000,80,960,2022
